x_max,lam,LB,MDD_Ann.Ret(%),MVO_Ann.Ret(%),Δ_Ann.Ret(%),MDD_Sharpe,MVO_Sharpe,Δ_Sharpe,MDD_MDD(%),MVO_MDD(%),Δ_MDD(%),MDD_Calmar,MVO_Calmar,Δ_Calmar,MDD_HHI,MVO_HHI,Δ_HHI,MDD_nActive,MVO_nActive,MDD_Turnover,MVO_Turnover,n,perwin_MDD,perwin_MVO,perwin_Δ,Cohen d,t,p,유의(0.05)
0.3,0.3,252,8.91,10.97,-2.06,0.5658,0.6669,-0.1011,35.1,35.87,-0.77,0.2536,0.3058,-0.0522,0.272,0.28,-0.008,4.31,4.0,0.3,0.1726,91,3.74,3.62,0.12,0.236,2.25,0.9867,✗
0.3,0.3,504,8.98,10.41,-1.43,0.5792,0.6249,-0.0457,33.46,35.84,-2.38,0.2682,0.2905,-0.0223,0.2711,0.28,-0.0089,4.38,4.0,0.3032,0.3142,91,3.65,4.0,-0.35,0.439,-4.19,0.0,✓
0.3,0.5,252,8.59,9.49,-0.9,0.5518,0.5888,-0.037,33.99,31.49,2.49,0.255,0.3012,-0.0462,0.2701,0.28,-0.0099,4.36,4.0,0.2839,0.2985,91,3.74,3.94,-0.2,0.244,-2.33,0.011,✓
0.3,0.5,504,10.91,11.27,-0.36,0.6748,0.6551,0.0197,33.41,35.01,-1.6,0.3269,0.3219,0.005,0.2676,0.28,-0.0124,4.45,4.0,0.3365,0.2746,91,3.67,3.8,-0.13,0.131,-1.25,0.1065,–
0.3,0.7,252,9.45,7.53,1.92,0.5939,0.463,0.1308,32.57,36.77,-4.2,0.29,0.2047,0.0853,0.2647,0.2799,-0.0152,4.59,4.0,0.3667,0.3687,91,3.74,4.31,-0.57,0.472,-4.51,0.0,✓
0.3,0.7,504,10.41,10.34,0.07,0.6458,0.6055,0.0403,32.45,37.89,-5.43,0.3209,0.2729,0.048,0.2604,0.28,-0.0196,4.73,4.0,0.3926,0.3111,91,3.75,3.93,-0.18,0.17,-1.62,0.0541,–
0.3,1.0,252,8.88,13.31,-4.43,0.5347,0.6882,-0.1535,33.71,39.97,-6.25,0.2668,0.333,-0.0662,0.2582,0.28,-0.0218,4.77,4.0,0.4127,0.2815,91,4.19,4.6,-0.42,0.269,-2.56,0.006,✓
0.3,1.0,504,10.94,12.71,-1.77,0.6274,0.7009,-0.0735,34.72,31.48,3.24,0.3137,0.4037,-0.09,0.2554,0.28,-0.0246,4.9,4.0,0.479,0.479,91,4.11,4.08,0.03,0.031,0.3,0.6171,–
0.6,0.3,252,6.7,12.18,-5.48,0.4458,0.7055,-0.2597,36.42,35.23,1.19,0.184,0.3457,-0.1618,0.4494,0.52,-0.0706,3.2,2.0,0.4573,0.2473,91,3.8,3.83,-0.03,0.026,-0.24,0.4039,–
0.6,0.3,504,8.19,5.62,2.57,0.526,0.4001,0.126,34.9,34.58,0.32,0.2346,0.1625,0.0721,0.4411,0.52,-0.0789,3.2,2.0,0.4632,0.338,91,3.72,3.87,-0.14,0.123,-1.17,0.1221,–
