tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.36,0.6024,2.54,33.61,36.55,0.2784,0.2605,0.3,0.3041
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.76,0.5602,2.59,34.14,36.91,0.2566,0.2675,0.3,0.2979
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.83,0.5655,2.62,30.72,33.11,0.2875,0.2736,0.3,0.2892
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.4,0.4791,2.67,37.49,40.62,0.1975,0.2788,0.3,0.2442
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.33,0.5873,2.62,34.41,37.83,0.2711,0.2515,0.3,0.3566
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.89,0.6233,2.51,33.76,36.59,0.2931,0.2677,0.3,0.3583
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.71,0.8152,2.53,35.26,38.09,0.3888,0.2742,0.3,0.3527
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.71,0.6733,2.57,30.2,32.74,0.3547,0.2768,0.3,0.2784
0,DFL-MVO,DFL-MVO (LB=252),9.49,0.5888,2.66,31.49,33.99,0.3012,0.28,0.3,0.2985
0,DFL-MVO,DFL-MVO (LB=504),11.27,0.6551,2.75,35.01,37.97,0.3219,0.28,0.3,0.2746
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.32,0.4331,3.14,49.95,58.12,0.1466,0.2788,0.3,0.0618
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.94,0.5028,3.1,49.95,58.13,0.179,0.2787,0.3,0.0574
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.67,0.4899,3.12,49.95,58.12,0.1735,0.2766,0.3,0.0631
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.87,0.5005,3.1,49.95,58.12,0.1775,0.2774,0.3,0.0609
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.95,0.5716,3.18,50.36,57.92,0.2174,0.2736,0.3,0.0677
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.99,0.574,3.17,50.15,57.53,0.219,0.2758,0.3,0.0739
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.29,0.5454,3.16,50.3,57.82,0.2046,0.274,0.3,0.0733
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.37,0.5496,3.17,50.15,57.53,0.2067,0.2738,0.3,0.072
0,PTO-MVO,PTO-MVO (LB=252),7.54,0.5038,2.57,36.02,39.18,0.2092,0.1828,0.3,0.0781
0,PTO-MVO,PTO-MVO (LB=504),5.73,0.4005,2.63,37.39,40.7,0.1533,0.1857,0.3,0.0544
0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.1,0.0327
0,Benchmark,GMV (LB=252),7.93,0.5278,2.56,34.8,37.82,0.228,0.1772,0.3,0.0781
0,Benchmark,hist-MVO (LB=252),11.9,0.7015,2.76,33.65,36.75,0.3538,0.2023,0.3,0.2447
0,Benchmark,GMV (LB=504),6.41,0.4389,2.61,36.14,39.3,0.1774,0.1837,0.2961,0.0531
0,Benchmark,hist-MVO (LB=504),7.9,0.505,2.74,32.87,35.67,0.2404,0.1947,0.3,0.1435
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.16,0.592,2.54,33.62,36.56,0.2724,0.2605,0.3,0.3041
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.57,0.5502,2.59,34.14,36.91,0.251,0.2675,0.3,0.2979
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.65,0.5559,2.62,30.72,33.11,0.2815,0.2736,0.3,0.2892
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.25,0.4712,2.68,37.5,40.64,0.1933,0.2788,0.3,0.2442
