x_max,lam,group,label,Ann.Ret(%),Sharpe,MDD(%),MDD_abs(%),Calmar,HHI,MaxW,nActive,Turnover
0.2,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.69,0.5981,37.96,41.57,0.2553,0.19,0.2,5.74,0.2114
0.2,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.28,0.569,37.22,40.25,0.2493,0.1894,0.2,5.77,0.2382
0.2,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",10.45,0.662,30.79,33.21,0.3394,0.1971,0.2,5.34,0.1409
0.2,0.3,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.65,0.5999,32.72,35.62,0.295,0.198,0.2,5.14,0.2597
0.2,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.14,0.6926,31.41,34.21,0.3545,0.1861,0.2,6.18,0.2584
0.2,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.19,0.635,33.15,35.8,0.3075,0.1954,0.2,5.35,0.2321
0.2,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.46,0.5362,37.97,41.75,0.2228,0.1963,0.2,5.24,0.1469
0.2,0.3,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.95,0.474,30.79,33.21,0.2256,0.1984,0.2,5.15,0.1583
0.2,0.3,DFL-MVO,DFL-MVO (LB=252),11.09,0.6462,36.06,39.47,0.3075,0.2,0.2,5.0,0.1303
0.2,0.3,DFL-MVO,DFL-MVO (LB=504),8.47,0.509,37.52,41.28,0.2258,0.1999,0.2,5.01,0.1706
0.2,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.96,0.5773,42.26,47.06,0.2357,0.2,0.2,5.0,0.0464
0.2,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.19,0.5878,42.26,47.06,0.2412,0.2,0.2,5.02,0.0463
0.2,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.15,0.5857,42.26,47.06,0.2401,0.1987,0.2,5.11,0.0468
0.2,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.15,0.5865,42.26,47.06,0.2402,0.1981,0.2,5.15,0.0513
0.2,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.79,0.5999,42.63,47.42,0.253,0.1952,0.2,5.36,0.055
0.2,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.73,0.5548,42.96,47.76,0.2266,0.1973,0.2,5.16,0.0638
0.2,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.05,0.5687,42.96,47.76,0.2341,0.1921,0.2,5.54,0.0648
0.2,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,42.96,47.76,0.236,0.1965,0.2,5.38,0.0636
0.2,0.3,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,35.63,38.78,0.2136,0.1522,0.2,8.39,0.0683
0.2,0.3,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,36.88,40.17,0.1661,0.1571,0.2,8.14,0.0471
