x_max,LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
0.2,252,0.3,DFL-MVO,91,3.76,4.010000228881836,-0.24,0.306,-2.92,0.0022,+,+,+,0.0036
0.2,252,0.3,PTO-MDD,91,3.76,4.06,-0.3,0.274,-2.62,0.0052,+,+,+,0.0006
0.2,252,0.3,PTO-MVO,91,3.76,3.71,0.05,0.115,1.1,0.8628,=,=,=,0.8081
0.2,252,0.3,GMV,91,3.76,3.69,0.08,0.175,1.67,0.9506,-,-,=,0.9541
0.2,252,0.3,hist-MVO,91,3.76,3.87,-0.11,0.113,-1.07,0.1427,=,=,=,0.788
0.2,252,0.3,EW,91,3.76,4.25,-0.49,0.507,-4.84,0.0,+,+,+,0.0
0.2,252,0.5,DFL-MVO,91,3.8,4.320000171661377,-0.52,0.426,-4.07,0.0001,+,+,+,0.0
0.2,252,0.5,PTO-MDD,91,3.8,4.06,-0.26,0.232,-2.21,0.0148,+,+,=,0.0033
0.2,252,0.5,PTO-MVO,91,3.8,3.71,0.09,0.167,1.6,0.943,-,=,=,0.9834
0.2,252,0.5,GMV,91,3.8,3.69,0.11,0.23,2.2,0.9847,-,-,=,0.9986
0.2,252,0.5,hist-MVO,91,3.8,3.87,-0.07,0.066,-0.63,0.265,=,=,=,0.5567
0.2,252,0.5,EW,91,3.8,4.25,-0.45,0.476,-4.55,0.0,+,+,+,0.0
0.2,252,0.7,DFL-MVO,91,3.99,3.9800000190734863,0.01,0.018,0.17,0.5669,=,=,=,0.3728
0.2,252,0.7,PTO-MDD,91,3.99,4.06,-0.07,0.075,-0.72,0.2371,=,=,=,0.0174
0.2,252,0.7,PTO-MVO,91,3.99,3.71,0.28,0.433,4.13,1.0,-,-,-,1.0
0.2,252,0.7,GMV,91,3.99,3.69,0.3,0.452,4.31,1.0,-,-,-,1.0
0.2,252,0.7,hist-MVO,91,3.99,3.87,0.12,0.112,1.07,0.8552,=,=,=,0.8565
0.2,252,0.7,EW,91,3.99,4.25,-0.26,0.393,-3.75,0.0002,+,+,+,0.0
0.2,252,1.0,DFL-MVO,91,4.11,4.46999979019165,-0.36,0.29,-2.77,0.0034,+,+,+,0.0206
0.2,252,1.0,PTO-MDD,91,4.11,4.06,0.05,0.049,0.46,0.6779,=,=,=,0.3594
0.2,252,1.0,PTO-MVO,91,4.11,3.71,0.4,0.567,5.41,1.0,-,-,-,1.0
0.2,252,1.0,GMV,91,4.11,3.69,0.42,0.556,5.3,1.0,-,-,-,1.0
0.2,252,1.0,hist-MVO,91,4.11,3.87,0.24,0.22,2.09,0.9805,-,-,=,0.9829
0.2,252,1.0,EW,91,4.11,4.25,-0.14,0.218,-2.08,0.0203,+,+,=,0.0309
