Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.3,252.0,0.1,0.0872497582556655,0.5797671320440143,0.024583631420363624,0.3210529810914405,0.271761246171514,0.34508793561689355,0.46638026691985374,0.4064558486839967
DFL-MDD,0.3,252.0,0.2,0.0708010941874051,0.4730468303514206,0.02563458483118912,0.34918541634027706,0.20276074215577833,0.3765340960133541,0.5515557192285109,0.5872905890306446
DFL-MDD,0.3,252.0,0.3,0.05553880402391642,0.3863950679601692,0.02619247418007521,0.3657768404169793,0.15183794563214922,0.39369231135864036,0.5570933344465933,0.6215289155347422
DFL-MDD,0.3,252.0,0.4,0.04297208708462552,0.32676290568772026,0.025918211761724756,0.3343489718159844,0.12852465745108854,0.3603999999940527,0.32407508742681024,0.8149439440164677
DFL-MDD,0.3,504.0,0.1,0.06222369632275382,0.4254442455981578,0.02582555271545263,0.37780833102509015,0.16469646430891413,0.40742319290138607,0.5364966082760735,0.3895375473665974
DFL-MDD,0.3,504.0,0.2,0.051769505805405736,0.37568974821623574,0.024726482668445397,0.3467162318045527,0.14931376451869532,0.37270534607310335,0.560857253781557,0.5269344053848878
DFL-MDD,0.3,504.0,0.3,0.04099119849432564,0.3234867312553764,0.024456449790743278,0.3361974329794086,0.12192597105476315,0.3666094945685975,0.4683772146549018,0.5886395313299827
DFL-MDD,0.3,504.0,0.4,0.07663781657691549,0.48668589319547123,0.027813616018551073,0.35518831932127565,0.21576671412445358,0.3859080676777281,0.7082920166875754,0.6224289188108716
EW,,,,0.11809749743772646,0.650255576408311,0.03021678909928633,0.38732568956245017,0.30490489164467005,0.42742692654198844,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07710233695876911,0.5159497082805359,0.025602277504862374,0.34824176018300923,0.22140462676305553,0.37845407568346723,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.10783821046803244,0.6464574567323226,0.0277087359666023,0.3366497073245869,0.32032765242247935,0.36746715894977755,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06277468768128314,0.431770043458882,0.026140661297511043,0.36154158267700504,0.1736306158730347,0.3931287808536358,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.07345218215895577,0.47440651372216147,0.02755815743540671,0.33636500551814463,0.21837046343144775,0.36471467502564847,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.11349717210825427,0.608612968128181,0.031009094242552774,0.3670760705526776,0.3091925112591819,0.4477003957781469,0.7311827959093274,1.0
DFL-MVO,,504.0,,0.11033851881448675,0.6577907685816387,0.027147981192545495,0.27149808202525694,0.4064062550673251,0.29109999164948075,0.3870967746470035,1.0
PTO-MDD,,252.0,0.1,0.0027552928350205175,0.1645514038953196,0.04248844152237522,0.7747392737494473,0.0035564130127678866,1.1635000003237363,0.07579546186238444,0.713143602718425
PTO-MDD,,252.0,0.2,0.014759938653182259,0.20603554695538528,0.044274531928091325,0.7747392737117624,0.0190514914528116,1.1635000003322604,0.07066898440724936,0.8026470483610155
PTO-MDD,,252.0,0.3,-0.007146213756237807,0.13365522464731813,0.0422991947261984,0.7747392734015718,-0.009224024133873096,1.1634999989862356,0.08475818737905157,0.726321283805387
PTO-MDD,,252.0,0.4,-0.003838277955684144,0.14723767439879443,0.04382451380809396,0.7747392735861919,-0.004954283442249809,1.1634999998310156,0.08924488525799841,0.7347376227274249
PTO-MDD,,504.0,0.1,0.05884000759155228,0.3372802888744916,0.045761761286306664,0.7747392737465151,0.0759481409783405,1.163500000280491,0.0815626053157835,0.7401560123143541
PTO-MDD,,504.0,0.2,0.022386258472886222,0.23387330941232015,0.046700647844377455,0.7747392735682498,0.02889521576322232,1.1634999998006892,0.08846206504715202,0.8188428518908684
PTO-MDD,,504.0,0.3,0.027769794679575632,0.2495341846316531,0.04660403880016792,0.7747392729908746,0.0358440518560343,1.1634999982795178,0.09518945292700208,0.8231323508516961
PTO-MDD,,504.0,0.4,0.01779456016570702,0.21786831809499194,0.04509054881072786,0.774739273380473,0.022968449870581557,1.163499999223225,0.08820573247164605,0.7292305238206224
PTO-MVO,,252.0,,0.07357828110377795,0.4947075533279058,0.025659018136793076,0.359791739007866,0.2045024193335331,0.39138834080321794,0.08029541064743953,0.18587238295080472
PTO-MVO,,504.0,,0.0570675814290762,0.39952226072119756,0.026292775363586363,0.3724748329861056,0.15321191221497585,0.4052732834299786,0.0543828499852245,0.18504625920509057
