Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,MDD_abs,Turnover,HHI
DFL-MDD,0.5,252.0,0.1,0.06308026749082818,0.4426067647489144,0.024857459544508503,0.30955191321436604,0.20377928475850476,0.33248069137334824,0.6479349004588815,0.43276258304398113
DFL-MDD,0.5,252.0,0.2,0.05546432646509225,0.39868893794855814,0.02511582375977866,0.3424305905196133,0.16197246386408398,0.37278337497264147,0.5727770217295057,0.5093144153026824
DFL-MDD,0.5,252.0,0.3,0.05129248670803421,0.3703702008724954,0.02591959661638284,0.3158654817894311,0.16238712252195123,0.33997923508286476,0.667031978591035,0.6190377121910136
DFL-MDD,0.5,252.0,0.4,0.10074061392323852,0.6512075523008658,0.024676715475852113,0.26274314809479304,0.3834186147779246,0.2851058915257454,0.49000957462923606,0.6577923947826345
DFL-MDD,0.5,504.0,0.1,0.09354371144817497,0.6150568949499833,0.0247396256557418,0.3238162618631092,0.2888789799532426,0.3563908785581589,0.6921111635639023,0.40812761162189726
DFL-MDD,0.5,504.0,0.2,0.11833237287399956,0.7406101988546693,0.025126211036050797,0.30557128627438723,0.38724964730167166,0.3285492956638336,0.712276337593599,0.4230514133864261
DFL-MDD,0.5,504.0,0.3,0.09057939667633552,0.5464550046884818,0.02696227897617117,0.4221972793157965,0.2145428241547937,0.45561441592872143,0.6704218779544715,0.5631492776756591
DFL-MDD,0.5,504.0,0.4,0.07149216452326601,0.4589849211040951,0.027672680444976165,0.3741516200205786,0.19107805680548992,0.40968478098511696,0.7096608351184822,0.5880099710948924
EW,,,,0.11896646423277168,0.6540595458650454,0.03021418799465819,0.3872944920202533,0.30717313737535185,0.42740000039339066,0.03271951540940811,0.10000000149011612
GMV,,252.0,,0.07914427128814117,0.5268328613413846,0.025597985884040834,0.34806390397270554,0.22738431179467855,0.3782768249511719,0.07974990491813176,0.17923854006097673
hist-MVO,,252.0,,0.1149680545317946,0.6810698756647161,0.02768791550255966,0.33618213048774265,0.3419814560958297,0.36701805889606476,0.27007593876871644,0.2260606552058078
GMV,,504.0,,0.06411632289836455,0.43882757450446275,0.026138401500062414,0.3614269510095291,0.17739773611662496,0.3930105194449425,0.05312191108785792,0.18376231304508575
hist-MVO,,504.0,,0.0772699516320885,0.4934551295996987,0.027550608235874085,0.3360922151627469,0.2299069961250996,0.3644479848444462,0.14947871575919605,0.1978982168626278
DFL-MVO,,252.0,,0.09228611838722234,0.5066749326258448,0.030758890557794533,0.4094917379458436,0.22536747341381203,0.44250000081956387,0.30107526920484495,1.0
DFL-MVO,,504.0,,0.06091997757585199,0.38307428066947835,0.030633064122729637,0.4259566736345651,0.1430191879416691,0.4707999958191067,0.23655914014581966,1.0
PTO-MDD,,252.0,0.1,0.0045628484139468295,0.17031109434620154,0.042487407036094285,0.7747392736465865,0.0058895277012112794,1.1634999999965212,0.07579494596161132,0.7131426291518909
PTO-MDD,,252.0,0.2,0.016465921677119022,0.21124059360941552,0.04427390593420586,0.7747392736462687,0.02125350067448846,1.1634999999942404,0.07066845259997703,0.8026476663300557
PTO-MDD,,252.0,0.3,-0.0051465831565722375,0.140050429280882,0.04229838271389462,0.7747392736386206,-0.006642987300407049,1.163499999966173,0.0847668954245375,0.7263397357731498
PTO-MDD,,252.0,0.4,-0.0017224719995592164,0.15386349879141376,0.043822325965424416,0.7747392736044718,-0.0022232924778978766,1.1634999998955657,0.08924442661295033,0.7347378310972477
PTO-MDD,,504.0,0.1,0.06091854446532263,0.34311867610567964,0.04576103422103303,0.774739273647303,0.07863102662998915,1.1634999999985027,0.08153980560577577,0.7401787858950357
PTO-MDD,,504.0,0.2,0.024539877529216714,0.24007769612509042,0.046698976973233046,0.7747392736468067,0.03167501424128992,1.163499999996298,0.08849101366655543,0.8188460470939936
PTO-MDD,,504.0,0.3,0.030081999301373896,0.2561461050327316,0.04660302217969662,0.7747392736420625,0.03882854570683509,1.1634999999845843,0.09508082508681315,0.8230821805076077
PTO-MDD,,504.0,0.4,0.01993052460910949,0.22420090942497034,0.04509011090218525,0.7747392736350921,0.02572546053206071,1.1634999999682751,0.08820868078259907,0.729261329250751
PTO-MVO,,252.0,,0.0756236879369705,0.5055873726141312,0.025653005332543815,0.3596235684409979,0.21028568356567326,0.3912214979695786,0.08033176269913218,0.18589116531793504
PTO-MVO,,504.0,,0.05841769924834961,0.4066098519194087,0.02629039853014336,0.37237920397066376,0.1568769109814846,0.4051755889234063,0.05439853746524963,0.18506993558849497
