Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.5,252,0.1,0.05493274937418624,0.397736015294354,0.02488708339040762,0.3098340933924303,0.17729730371176317,0.43276258304398113
DFL-MDD,0.5,252,0.2,0.04826321330470984,0.3591850999467282,0.025137679345869666,0.34348453611999374,0.14051058552981957,0.5093144153026824
DFL-MDD,0.5,252,0.3,0.04300000882964583,0.3258374308371664,0.025947867860062833,0.31627953628590244,0.13595570968960885,0.6190377121910136
DFL-MDD,0.5,252,0.4,0.09434627171805099,0.6169349272521693,0.02468474537450339,0.2631214530650111,0.3585654859502608,0.6577923947826345
DFL-MDD,0.5,504,0.1,0.08460123661294916,0.5664495637390045,0.0247668692736031,0.32448358505248853,0.260725782394174,0.40812761162189726
DFL-MDD,0.5,504,0.2,0.1089178016603769,0.6911554903989962,0.025144733048534332,0.30580111717764563,0.356172020004385,0.4230514133864261
DFL-MDD,0.5,504,0.3,0.08196301333731237,0.5054086683806991,0.026976270993157747,0.4226376367079792,0.1939321210395452,0.5631492776756591
DFL-MDD,0.5,504,0.4,0.06251579264654161,0.41471748434227346,0.02769533690501409,0.37492173117392913,0.16674358254487437,0.5880099710948924
PTO-MDD,,252,0.1,0.0037037113277240685,0.16757450759029072,0.042487789830204174,0.7747392736465932,0.00478059064930727,0.7131426291518909
PTO-MDD,,252,0.2,0.01563832793078679,0.20871626474782573,0.04427414525999935,0.7747392736462855,0.020185278403619545,0.8026476663300557
PTO-MDD,,252,0.3,-0.006126489702868332,0.13691738164177672,0.042298744495306,0.7747392736387476,-0.007907808356355852,0.7263397357731498
PTO-MDD,,252,0.4,-0.0027510365070305687,0.15064362299186213,0.043823176433076046,0.7747392736049141,-0.00355091912905708,0.7347378310972477
PTO-MDD,,504,0.1,0.06003692851097431,0.34064356667547946,0.045761210766576854,0.7747392736473071,0.07749307482578488,0.7401787858950357
PTO-MDD,,504,0.2,0.023521461345859196,0.23714558703242125,0.0467001304210118,0.7747392736468196,0.030360486608745067,0.8188460470939936
PTO-MDD,,504,0.3,0.028961229720023463,0.2529419813937053,0.04660343939909291,0.774739273642074,0.03738190472794494,0.8230821805076077
PTO-MDD,,504,0.4,0.018951077478815526,0.2212995036395656,0.045090568323717245,0.7747392736351425,0.024461232470440457,0.729261329250751
PTO-MVO,,252,,0.07457394984341459,0.5000143266883393,0.025656158499317842,0.3597050352842234,0.20731972729755507,0.18589116531793504
PTO-MVO,,504,,0.057775640323207034,0.4032426219292768,0.026291765165911904,0.37242524297600277,0.15513352383424894,0.18506993558849497
