lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.94,0.6454,2.45,32.06,34.46,0.31,0.4065,0.4664
0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.49,0.5466,2.56,34.88,37.62,0.2435,0.5873,0.5516
0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.96,0.4584,2.62,36.46,39.25,0.1909,0.6215,0.5571
0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.1,0.3704,2.59,33.43,36.04,0.1526,0.8149,0.3241
0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.59,0.4961,2.58,37.66,40.63,0.2014,0.3895,0.5365
0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.59,0.4517,2.47,34.6,37.2,0.1904,0.5269,0.5609
0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",5.26,0.3898,2.44,33.34,36.27,0.1579,0.5886,0.4684
0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",9.49,0.5763,2.77,35.37,38.39,0.2684,0.6224,0.7083
0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.46,0.1703,4.25,77.47,116.35,0.0059,0.7131,0.0758
0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.65,0.2112,4.43,77.47,116.35,0.0213,0.8026,0.0707
0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.51,0.1401,4.23,77.47,116.35,-0.0066,0.7263,0.0848
0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.17,0.1539,4.38,77.47,116.35,-0.0022,0.7347,0.0892
0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.09,0.3431,4.58,77.47,116.35,0.0786,0.7402,0.0816
0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.45,0.2401,4.67,77.47,116.35,0.0317,0.8188,0.0885
0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",3.01,0.2562,4.66,77.47,116.35,0.0388,0.8231,0.0952
0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.99,0.2242,4.51,77.47,116.35,0.0257,0.7292,0.0882
0.3,0,PTO-MVO,PTO-MVO (LB=252),7.56,0.5056,2.57,35.96,39.12,0.2103,0.1859,0.0803
0.3,0,PTO-MVO,PTO-MVO (LB=504),5.84,0.4067,2.63,37.24,40.52,0.1569,0.185,0.0544
0.3,0,DFL-MVO,DFL-MVO (LB=252),13.3,0.6895,3.09,36.2,44.11,0.3675,1.0,0.7312
0.3,0,DFL-MVO,DFL-MVO (LB=504),12.06,0.7079,2.71,27.07,29.11,0.4456,1.0,0.3871
0.3,0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.0327
0.3,0,Benchmark,GMV (LB=252),7.91,0.5268,2.56,34.81,37.83,0.2274,0.1792,0.0797
0.3,0,Benchmark,hist-MVO (LB=252),11.5,0.6811,2.77,33.62,36.7,0.342,0.2261,0.2701
0.3,0,Benchmark,GMV (LB=504),6.41,0.4388,2.61,36.14,39.3,0.1774,0.1838,0.0531
0.3,0,Benchmark,hist-MVO (LB=504),7.73,0.4935,2.76,33.61,36.44,0.2299,0.1979,0.1495
0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.63,0.629,2.46,32.07,34.47,0.3004,0.4065,0.4664
0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.14,0.5283,2.56,34.89,37.63,0.2333,0.5873,0.5516
