H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.64,0.4009,2.58,30.42,32.74,0.1852,0.2791,0.6595
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",10.94,0.6702,2.67,27.42,29.43,0.399,0.3903,0.8399
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",4.27,0.3119,2.79,32.85,35.87,0.13,0.5003,0.7064
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.38,0.3614,2.88,34.68,37.42,0.155,0.6592,0.8006
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.2,0.5066,2.81,39.07,42.28,0.2099,0.2413,0.8098
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",6.19,0.4161,2.75,32.8,36.19,0.1887,0.3893,0.8418
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.85,0.6939,2.68,32.54,35.44,0.3643,0.5063,0.8838
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",11.47,0.643,2.77,34.0,36.62,0.3373,0.5146,0.9301
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.16,0.5024,3.43,52.46,66.89,0.1746,0.8616,0.0418
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.39,0.5139,3.39,50.82,63.24,0.1848,0.8801,0.0395
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.7,0.4821,3.47,43.65,49.6,0.1993,0.8809,0.0545
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.47,0.4365,3.37,47.37,55.43,0.1578,0.8878,0.0383
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.5,0.2241,3.82,69.82,108.67,0.0358,0.85,0.0548
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.51,-0.0016,4.26,81.79,152.71,-0.0429,0.9011,0.0479
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",0.03,0.124,3.88,74.77,124.95,0.0004,0.818,0.0558
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.12,0.125,3.97,75.37,126.82,-0.0016,0.8404,0.0559
126,0,PTO-MVO,PTO-MVO (LB=252),6.52,0.4522,2.54,37.72,40.92,0.1729,0.1223,0.1354
126,0,PTO-MVO,PTO-MVO (LB=504),5.94,0.4164,2.56,38.86,42.46,0.1528,0.1188,0.0852
126,0,DFL-MVO,DFL-MVO (LB=252),6.31,0.3764,3.34,40.95,44.25,0.1542,1.0,0.6882
126,0,DFL-MVO,DFL-MVO (LB=504),8.67,0.4972,2.92,40.95,44.25,0.2117,1.0,0.4301
126,0,Benchmark,EW,10.03,0.5517,3.14,42.38,47.66,0.2368,0.0333,0.0367
126,0,Benchmark,GMV (LB=252),7.19,0.4961,2.5,35.43,38.36,0.2029,0.1123,0.1352
126,0,Benchmark,hist-MVO (LB=252),12.83,0.7242,2.88,35.3,38.35,0.3634,0.1718,0.4051
126,0,Benchmark,GMV (LB=504),6.41,0.4476,2.53,36.33,39.41,0.1765,0.1137,0.0841
126,0,Benchmark,hist-MVO (LB=504),8.57,0.5357,2.78,34.7,37.69,0.247,0.1423,0.2351
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",5.22,0.3786,2.58,30.45,32.77,0.1715,0.2791,0.6595
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",10.39,0.6423,2.67,27.45,29.46,0.3786,0.3903,0.8399
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",3.83,0.2904,2.79,32.87,35.89,0.1166,0.5003,0.7064
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.88,0.3377,2.88,34.7,37.44,0.1405,0.6592,0.8006
126,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",7.68,0.4816,2.82,39.1,42.3,0.1965,0.2413,0.8098
