LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
252,0.3,DFL-MVO,85,4.015672081432508,4.292438983917236,-0.2767665069903792,0.12585026049439027,-1.1602820715899218,0.12461054482280827,=,=,=,0.1295957868293931
252,0.3,PTO-MDD,85,4.015672081432508,6.018605228414386,-2.0029331469818774,0.6222453122435434,-5.736818319571443,7.420923904264278e-08,+,+,+,8.492294980687719e-08
252,0.3,PTO-MVO,85,4.015672081432508,3.6324028718557564,0.3832692095767517,0.3702414347356896,3.413457367477594,0.9995052901632014,-,-,-,0.9999754324504948
252,0.3,GMV,85,4.015672081432508,3.565978394574764,0.44969368685774413,0.4755978241918319,4.38479528392836,0.9999832850355186,-,-,-,0.9999906044611632
252,0.3,hist-MVO,85,4.015672081432508,4.093530325197261,-0.07785824376475221,0.04363824875426095,-0.4023247744283148,0.3442334966273746,=,=,=,0.5375279965182093
252,0.3,EW,85,4.015672081432508,4.717128274315335,-0.7014561928828257,0.4563001114098479,-4.2068791630107905,3.2243386525904724e-05,+,+,+,7.709738373613647e-06
252,0.5,DFL-MVO,85,3.852727334959459,5.039130687713623,-1.1864034642499102,0.5221076113880797,-4.8135943346833985,3.2348885601667627e-06,+,+,+,4.984781179142196e-07
252,0.5,PTO-MDD,85,3.852727334959459,6.018605228414386,-2.1658778934549257,0.7123399624094477,-6.567449952140247,2.013609931881825e-09,+,+,+,3.794216332608093e-09
252,0.5,PTO-MVO,85,3.852727334959459,3.6324028718557564,0.22032446310370332,0.22268005001988622,2.053008620910545,0.9784082478150323,-,-,=,0.9992497511256404
252,0.5,GMV,85,3.852727334959459,3.565978394574764,0.28674894038469584,0.314239232971867,2.8971425786097442,0.9975995970975148,-,-,-,0.9997203687390175
252,0.5,hist-MVO,85,3.852727334959459,4.093530325197261,-0.24080299023780044,0.13489029044220763,-1.243627029589083,0.10854821520039053,=,=,=,0.7842204341882296
252,0.5,EW,85,3.852727334959459,4.717128274315335,-0.8644009393558738,0.5542121944768954,-5.10958396575359,9.96287303462592e-07,+,+,+,1.4918653947345208e-07
252,0.7,DFL-MVO,85,4.30396638191132,4.758791923522949,-0.45482534105952976,0.17867695515419438,-1.6473201315378228,0.05161417749107071,+,=,=,0.005282624324647605
252,0.7,PTO-MDD,85,4.30396638191132,6.018605228414386,-1.7146388465030655,0.584846216534948,-5.3920156940234945,3.1432283068846205e-07,+,+,+,3.2541093070878053e-07
252,0.7,PTO-MVO,85,4.30396638191132,3.6324028718557564,0.671563510055564,0.5932594815887315,5.469582165217842,0.9999997721026891,-,-,-,0.9999999993812745
252,0.7,GMV,85,4.30396638191132,3.565978394574764,0.7379879873365565,0.6492510472528864,5.985798894091951,0.9999999743842455,-,-,-,0.9999999995547547
252,0.7,hist-MVO,85,4.30396638191132,4.093530325197261,0.2104360567140601,0.11865349604647026,1.0939311818136583,0.861443882968342,=,=,=,0.9218316479373739
252,0.7,EW,85,4.30396638191132,4.717128274315335,-0.41316189240401335,0.28386292224005216,-2.617086831369235,0.005257780535770723,+,+,+,0.0011205106806126393
252,1.0,DFL-MVO,85,4.981987829239524,6.793575286865234,-1.8115878797668394,0.42621834292928024,-3.9295389611502047,8.703648916949732e-05,+,+,+,3.497586950785982e-05
252,1.0,PTO-MDD,85,4.981987829239524,6.018605228414386,-1.0366173991748602,0.3271562764544478,-3.016231835254184,0.0016927799948567883,+,+,+,0.0013335975174304637
252,1.0,PTO-MVO,85,4.981987829239524,3.6324028718557564,1.3495849573837693,0.959634258763593,8.847390711412253,0.9999999999999398,-,-,-,0.9999999999985931
252,1.0,GMV,85,4.981987829239524,3.565978394574764,1.4160094346647614,0.9589037220390785,8.840655495602906,0.9999999999999379,-,-,-,0.999999999999034
252,1.0,hist-MVO,85,4.981987829239524,4.093530325197261,0.888457504042265,0.4877094029896579,4.496458523102924,0.999989016396649,-,-,-,0.9999925908680806
252,1.0,EW,85,4.981987829239524,4.717128274315335,0.2648595549241918,0.2916670719198678,2.6890375362936627,0.995679582841456,-,-,-,0.9941606126487842
504,0.3,DFL-MVO,85,3.9537296541367293,5.0877909660339355,-1.1340617859294402,0.4189522205896836,-3.862548623208165,0.00010997094533069304,+,+,+,1.1428913941042385e-05
504,0.3,PTO-MDD,85,3.9537296541367293,7.6644796561409,-3.7107500020041697,0.6717818984045556,-6.1935230779454145,1.041905614225885e-08,+,+,+,2.3058784730584804e-09
504,0.3,PTO-MVO,85,3.9537296541367293,3.7330942819460917,0.22063537219063822,0.2478760908382758,2.2853046393834537,0.9875926794567005,-,-,=,0.9975298501807084
504,0.3,GMV,85,3.9537296541367293,3.660188535599259,0.2935411185374713,0.3430952288734257,3.163181715683627,0.998913703382333,-,-,-,0.9999669069173528
504,0.3,hist-MVO,85,3.9537296541367293,3.989251564475217,-0.0355219103384885,0.02274001805961341,-0.20965260746024897,0.4172232316169429,=,=,=,0.7493992932994136
504,0.3,EW,85,3.9537296541367293,4.717128274315335,-0.7633986201786049,0.4985239858527581,-4.596164050596354,7.5137733726258e-06,+,+,+,3.1597682331602867e-06
504,0.5,DFL-MVO,85,3.909382700661676,5.343167781829834,-1.433785532760996,0.44340087091287433,-4.08795404178363,4.959553543662972e-05,+,+,+,4.448006437990188e-08
