H,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
252,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.82,0.5523,2.61,33.39,36.11,0.2641,0.2411,0.6386
252,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",1.06,0.1504,2.81,34.32,36.8,0.031,0.3523,0.6699
252,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",10.49,0.6453,2.62,29.3,31.32,0.3579,0.4532,0.7567
252,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",5.41,0.3799,2.61,31.25,33.37,0.1731,0.461,0.8148
252,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.94,0.4638,2.57,36.28,38.88,0.1914,0.2146,0.6173
252,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.82,0.503,2.59,34.12,37.07,0.2293,0.3311,0.7031
252,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",3.59,0.2757,2.88,41.99,46.64,0.0854,0.4135,0.7476
252,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",8.42,0.5367,2.65,32.22,34.45,0.2613,0.4823,0.652
252,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",-0.99,0.0868,3.89,71.75,114.82,-0.0137,0.8996,0.0243
252,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",3.99,0.2841,3.67,60.49,84.42,0.066,0.9263,0.0251
252,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",3.58,0.2674,3.68,62.01,88.02,0.0577,0.9015,0.0305
252,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.25,0.1137,3.86,70.45,110.96,-0.0035,0.9377,0.0243
252,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",-9.71,-0.1328,5.12,87.93,183.7,-0.1105,0.9443,0.027
252,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-8.9,-0.0797,5.39,88.33,186.66,-0.1007,0.9628,0.0265
252,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-9.18,-0.0931,5.34,88.33,186.26,-0.1039,0.9569,0.0268
252,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-9.63,-0.1157,5.25,88.33,185.66,-0.1091,0.9496,0.0272
252,0.3,0,PTO-MVO,PTO-MVO (LB=252),5.63,0.403,2.54,37.65,40.84,0.1496,0.1225,0.1347
252,0.3,0,PTO-MVO,PTO-MVO (LB=504),4.67,0.3464,2.59,39.25,42.97,0.1189,0.1216,0.0823
252,0.3,0,DFL-MVO,DFL-MVO (LB=252),10.68,0.5896,2.87,40.95,44.25,0.2609,0.9943,0.4866
252,0.3,0,DFL-MVO,DFL-MVO (LB=504),5.19,0.3284,3.56,49.16,57.61,0.1057,1.0,0.3721
252,0.3,0,Benchmark,EW,9.58,0.532,3.15,42.38,47.66,0.2261,0.0333,0.0362
252,0.3,0,Benchmark,GMV (LB=252),6.39,0.4509,2.51,35.43,38.36,0.1804,0.1154,0.1335
252,0.3,0,Benchmark,hist-MVO (LB=252),10.74,0.6237,2.91,35.3,38.35,0.3041,0.1667,0.4157
252,0.3,0,Benchmark,GMV (LB=504),5.46,0.394,2.55,36.33,39.41,0.1502,0.1171,0.0833
252,0.3,0,Benchmark,hist-MVO (LB=504),6.94,0.4537,2.81,34.7,37.69,0.2001,0.1419,0.2349
