tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.81,0.5682,2.56,29.19,31.44,0.3019,0.2417,0.3,0.4556
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.55,0.4619,3.01,37.91,41.38,0.1992,0.2462,0.3,0.3536
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.28,0.4981,2.94,33.94,36.85,0.244,0.2679,0.3,0.4319
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.89,0.6107,3.0,33.8,36.78,0.3221,0.2772,0.3,0.4098
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.87,0.6767,2.81,38.19,41.68,0.3109,0.2248,0.3,0.5358
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.98,0.5733,2.65,30.36,33.03,0.2959,0.2525,0.3,0.4949
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.33,0.4896,3.03,34.37,37.37,0.2424,0.2684,0.3,0.4593
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",14.59,0.77,2.99,35.96,40.0,0.4057,0.2758,0.3,0.4259
0,DFL-MVO,DFL-MVO (LB=252),13.31,0.6882,3.16,39.97,44.0,0.333,0.28,0.3,0.2815
0,DFL-MVO,DFL-MVO (LB=504),12.71,0.7009,2.86,31.48,34.48,0.4037,0.28,0.3,0.479
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.32,0.4331,3.14,49.95,58.12,0.1466,0.2788,0.3,0.0618
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.94,0.5028,3.1,49.95,58.13,0.179,0.2787,0.3,0.0574
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.67,0.4899,3.12,49.95,58.12,0.1735,0.2766,0.3,0.0631
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.87,0.5005,3.1,49.95,58.12,0.1775,0.2774,0.3,0.0609
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.95,0.5716,3.18,50.36,57.92,0.2174,0.2736,0.3,0.0677
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.99,0.574,3.17,50.15,57.53,0.219,0.2758,0.3,0.0739
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.29,0.5454,3.16,50.3,57.82,0.2046,0.274,0.3,0.0733
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.37,0.5496,3.17,50.15,57.53,0.2067,0.2738,0.3,0.072
0,PTO-MVO,PTO-MVO (LB=252),7.54,0.5038,2.57,36.02,39.18,0.2092,0.1828,0.3,0.0781
0,PTO-MVO,PTO-MVO (LB=504),5.73,0.4005,2.63,37.39,40.7,0.1533,0.1857,0.3,0.0544
0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.1,0.0327
0,Benchmark,GMV (LB=252),7.93,0.5278,2.56,34.8,37.82,0.228,0.1772,0.3,0.0781
0,Benchmark,hist-MVO (LB=252),11.9,0.7015,2.76,33.65,36.75,0.3538,0.2023,0.3,0.2447
0,Benchmark,GMV (LB=504),6.41,0.4389,2.61,36.14,39.3,0.1774,0.1837,0.2961,0.0531
0,Benchmark,hist-MVO (LB=504),7.9,0.505,2.74,32.87,35.67,0.2404,0.1947,0.3,0.1435
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.52,0.5529,2.56,29.19,31.44,0.2918,0.2417,0.3,0.4556
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.32,0.4515,3.01,37.94,41.42,0.1931,0.2462,0.3,0.3536
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.0,0.4853,2.94,34.0,36.94,0.2354,0.2679,0.3,0.4319
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.62,0.5987,3.0,33.82,36.8,0.314,0.2772,0.3,0.4098
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.52,0.6602,2.81,38.19,41.69,0.3015,0.2248,0.3,0.5358
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.66,0.5567,2.66,30.37,33.04,0.2853,0.2525,0.3,0.4949
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.04,0.4765,3.03,34.39,37.39,0.2337,0.2684,0.3,0.4593
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",14.3,0.7576,2.99,35.97,40.01,0.3975,0.2758,0.3,0.4259
5,DFL-MVO,DFL-MVO (LB=252),13.12,0.6805,3.16,39.97,44.0,0.3283,0.28,0.3,0.2815
5,DFL-MVO,DFL-MVO (LB=504),12.39,0.6865,2.86,31.49,34.49,0.3935,0.28,0.3,0.479
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.29,0.4314,3.14,49.96,58.14,0.1458,0.2788,0.3,0.0618
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.9,0.5012,3.1,49.96,58.14,0.1782,0.2787,0.3,0.0574
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.63,0.4882,3.12,49.96,58.14,0.1727,0.2766,0.3,0.0631
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.83,0.4989,3.1,49.96,58.14,0.1767,0.2774,0.3,0.0609
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.9,0.5698,3.18,50.37,57.94,0.2164,0.2736,0.3,0.0677
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.94,0.572,3.17,50.16,57.53,0.2181,0.2758,0.3,0.0739
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.25,0.5435,3.16,50.31,57.83,0.2036,0.274,0.3,0.0733
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.32,0.5477,3.17,50.16,57.53,0.2057,0.2738,0.3,0.072
5,PTO-MVO,PTO-MVO (LB=252),7.49,0.5012,2.57,36.03,39.19,0.2078,0.1828,0.3,0.0781
5,PTO-MVO,PTO-MVO (LB=504),5.7,0.3988,2.63,37.39,40.7,0.1524,0.1857,0.3,0.0544
5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.1,0.0327
5,Benchmark,GMV (LB=252),7.88,0.5251,2.56,34.8,37.82,0.2265,0.1772,0.3,0.0781
5,Benchmark,hist-MVO (LB=252),11.74,0.6937,2.76,33.66,36.76,0.3488,0.2023,0.3,0.2447
5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.14,39.3,0.1765,0.1837,0.2961,0.0531
5,Benchmark,hist-MVO (LB=504),7.81,0.5004,2.74,32.87,35.68,0.2375,0.1947,0.3,0.1435
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.23,0.5375,2.56,29.19,31.44,0.2817,0.2417,0.3,0.4556
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.1,0.4411,3.01,37.96,41.46,0.187,0.2462,0.3,0.3536
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.73,0.4724,2.94,34.06,37.03,0.2269,0.2679,0.3,0.4319
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.35,0.5868,3.0,33.84,36.82,0.3058,0.2772,0.3,0.4098
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.16,0.6438,2.81,38.2,41.7,0.2922,0.2248,0.3,0.5358
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.35,0.5402,2.66,30.38,33.06,0.2747,0.2525,0.3,0.4949
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.74,0.4633,3.03,34.4,37.4,0.225,0.2684,0.3,0.4593
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",14.01,0.7452,2.99,35.99,40.03,0.3894,0.2758,0.3,0.4259
10,DFL-MVO,DFL-MVO (LB=252),12.93,0.6728,3.16,39.97,44.0,0.3236,0.28,0.3,0.2815
10,DFL-MVO,DFL-MVO (LB=504),12.07,0.6722,2.86,31.5,34.5,0.3833,0.28,0.3,0.479
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.25,0.4298,3.14,49.97,58.16,0.145,0.2788,0.3,0.0618
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.86,0.4997,3.1,49.97,58.16,0.1774,0.2787,0.3,0.0574
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.58,0.4864,3.12,49.97,58.16,0.1718,0.2766,0.3,0.0631
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.79,0.4972,3.1,49.97,58.16,0.1759,0.2774,0.3,0.0609
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.86,0.568,3.18,50.37,57.95,0.2155,0.2736,0.3,0.0677
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.89,0.5701,3.17,50.16,57.54,0.2171,0.2758,0.3,0.0739
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.2,0.5416,3.16,50.32,57.84,0.2027,0.274,0.3,0.0733
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.27,0.5458,3.17,50.16,57.54,0.2048,0.2738,0.3,0.072
10,PTO-MVO,PTO-MVO (LB=252),7.44,0.4985,2.57,36.03,39.19,0.2064,0.1828,0.3,0.0781
10,PTO-MVO,PTO-MVO (LB=504),5.66,0.397,2.63,37.4,40.7,0.1514,0.1857,0.3,0.0544
10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.1,0.0327
