x_max,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.69,0.5981,2.69,37.96,41.57,0.2553,0.19,0.2,0.2114
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.28,0.569,2.73,37.22,40.25,0.2493,0.1894,0.2,0.2382
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",10.45,0.662,2.57,30.79,33.21,0.3394,0.1971,0.2,0.1409
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.65,0.5999,2.67,32.72,35.62,0.295,0.198,0.2,0.2597
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.14,0.6926,2.58,31.41,34.21,0.3545,0.1861,0.2,0.2584
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.19,0.635,2.6,33.15,35.8,0.3075,0.1954,0.2,0.2321
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.46,0.5362,2.7,37.97,41.75,0.2228,0.1963,0.2,0.1469
0.2,0.3,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.95,0.474,2.59,30.79,33.21,0.2256,0.1984,0.2,0.1583
0.2,0.3,0,DFL-MVO,DFL-MVO (LB=252),11.09,0.6462,2.8,36.06,39.47,0.3075,0.2,0.2,0.1303
0.2,0.3,0,DFL-MVO,DFL-MVO (LB=504),8.47,0.509,2.96,37.52,41.28,0.2258,0.1999,0.2,0.1706
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.96,0.5773,2.85,42.26,47.06,0.2357,0.2,0.2,0.0464
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.19,0.5878,2.86,42.26,47.06,0.2412,0.2,0.2,0.0463
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.15,0.5857,2.85,42.26,47.06,0.2401,0.1987,0.2,0.0468
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.15,0.5865,2.85,42.26,47.06,0.2402,0.1981,0.2,0.0513
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.79,0.5999,2.99,42.63,47.42,0.253,0.1952,0.2,0.055
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.73,0.5548,2.93,42.96,47.76,0.2266,0.1973,0.2,0.0638
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.05,0.5687,2.95,42.96,47.76,0.2341,0.1921,0.2,0.0648
0.2,0.3,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.14,0.5748,2.92,42.96,47.76,0.236,0.1965,0.2,0.0636
0.2,0.3,0,PTO-MVO,PTO-MVO (LB=252),7.61,0.5047,2.61,35.63,38.78,0.2136,0.1522,0.2,0.0683
0.2,0.3,0,PTO-MVO,PTO-MVO (LB=504),6.12,0.4219,2.64,36.88,40.17,0.1661,0.1571,0.2,0.0471
0.2,0.3,0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.1,0.0327
0.2,0.3,0,Benchmark,GMV (LB=252),8.03,0.53,2.59,34.48,37.5,0.2329,0.1502,0.2,0.0674
0.2,0.3,0,Benchmark,hist-MVO (LB=252),11.91,0.7045,2.74,32.81,35.85,0.3629,0.1628,0.2,0.2067
0.2,0.3,0,Benchmark,GMV (LB=504),6.86,0.4634,2.62,35.6,38.76,0.1928,0.1553,0.2,0.0456
0.2,0.3,0,Benchmark,hist-MVO (LB=504),8.88,0.555,2.74,32.05,34.81,0.2771,0.1607,0.2,0.1203
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.55,0.5912,2.69,37.98,41.6,0.2515,0.19,0.2,0.2114
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.12,0.5614,2.73,37.24,40.27,0.245,0.1894,0.2,0.2382
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",10.36,0.6572,2.57,30.79,33.21,0.3364,0.1971,0.2,0.1409
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.48,0.5914,2.67,32.73,35.63,0.2897,0.198,0.2,0.2597
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",10.97,0.6839,2.58,31.43,34.22,0.349,0.1861,0.2,0.2584
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.04,0.6272,2.6,33.16,35.81,0.3028,0.1954,0.2,0.2321
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.37,0.5314,2.7,38.02,41.82,0.2201,0.1963,0.2,0.1469
0.2,0.3,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.85,0.4685,2.59,30.79,33.21,0.2224,0.1984,0.2,0.1583
0.2,0.3,5,DFL-MVO,DFL-MVO (LB=252),11.0,0.6422,2.8,36.06,39.47,0.3052,0.2,0.2,0.1303
0.2,0.3,5,DFL-MVO,DFL-MVO (LB=504),8.36,0.5039,2.96,37.52,41.29,0.2229,0.1999,0.2,0.1706
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.93,0.5759,2.85,42.27,47.07,0.235,0.2,0.2,0.0464
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.16,0.5864,2.86,42.27,47.07,0.2404,0.2,0.2,0.0463
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.12,0.5843,2.85,42.27,47.07,0.2393,0.1987,0.2,0.0468
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.12,0.5849,2.85,42.27,47.07,0.2393,0.1981,0.2,0.0513
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.75,0.5984,2.99,42.64,47.44,0.2521,0.1952,0.2,0.055
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.69,0.553,2.93,42.97,47.79,0.2255,0.1973,0.2,0.0638
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.01,0.5668,2.95,42.97,47.79,0.233,0.1921,0.2,0.0648
0.2,0.3,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.1,0.573,2.92,42.97,47.79,0.235,0.1965,0.2,0.0636
0.2,0.3,5,PTO-MVO,PTO-MVO (LB=252),7.57,0.5024,2.61,35.63,38.78,0.2124,0.1522,0.2,0.0683
0.2,0.3,5,PTO-MVO,PTO-MVO (LB=504),6.09,0.4204,2.64,36.88,40.17,0.1652,0.1571,0.2,0.0471
0.2,0.3,5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.1,0.0327
0.2,0.3,5,Benchmark,GMV (LB=252),7.99,0.5277,2.59,34.49,37.5,0.2316,0.1502,0.2,0.0674
