H,LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
252,252,0.3,DFL-MVO,85,3.84,4.739999771118164,-0.9,0.413,-3.81,0.0001,+,+,+,0.0
252,252,0.3,PTO-MDD,85,3.84,6.66,-2.82,0.694,-6.4,0.0,+,+,+,0.0
252,252,0.3,PTO-MVO,85,3.84,3.72,0.12,0.122,1.13,0.8686,=,=,=,0.8384
252,252,0.3,GMV,85,3.84,3.71,0.13,0.14,1.29,0.8997,=,=,=,0.9199
252,252,0.3,hist-MVO,85,3.84,3.91,-0.07,0.05,-0.46,0.3218,=,=,=,0.5427
252,252,0.3,EW,85,3.84,4.33,-0.49,0.354,-3.27,0.0008,+,+,+,0.0004
252,252,0.5,DFL-MVO,85,3.79,4.630000114440918,-0.84,0.465,-4.29,0.0,+,+,+,0.0
252,252,0.5,PTO-MDD,85,3.79,6.66,-2.87,0.701,-6.47,0.0,+,+,+,0.0
252,252,0.5,PTO-MVO,85,3.79,3.72,0.06,0.068,0.63,0.7333,=,=,=,0.7956
252,252,0.5,GMV,85,3.79,3.71,0.08,0.087,0.8,0.7876,=,=,=,0.8695
252,252,0.5,hist-MVO,85,3.79,3.91,-0.13,0.094,-0.86,0.195,=,=,=,0.646
252,252,0.5,EW,85,3.79,4.33,-0.54,0.384,-3.54,0.0003,+,+,+,0.0006
252,252,0.7,DFL-MVO,85,3.88,4.909999847412109,-1.03,0.475,-4.38,0.0,+,+,+,0.0
252,252,0.7,PTO-MDD,85,3.88,6.66,-2.78,0.698,-6.43,0.0,+,+,+,0.0
252,252,0.7,PTO-MVO,85,3.88,3.72,0.16,0.206,1.9,0.9695,-,-,=,0.9932
252,252,0.7,GMV,85,3.88,3.71,0.18,0.228,2.1,0.9806,-,-,=,0.9935
252,252,0.7,hist-MVO,85,3.88,3.91,-0.03,0.023,-0.21,0.4162,=,=,=,0.618
252,252,0.7,EW,85,3.88,4.33,-0.44,0.423,-3.9,0.0001,+,+,+,0.0001
252,252,1.0,DFL-MVO,85,4.06,5.300000190734863,-1.25,0.551,-5.08,0.0,+,+,+,0.0
252,252,1.0,PTO-MDD,85,4.06,6.66,-2.6,0.647,-5.97,0.0,+,+,+,0.0
252,252,1.0,PTO-MVO,85,4.06,3.72,0.34,0.376,3.46,0.9996,-,-,-,1.0
252,252,1.0,GMV,85,4.06,3.71,0.35,0.399,3.68,0.9998,-,-,-,1.0
252,252,1.0,hist-MVO,85,4.06,3.91,0.15,0.106,0.97,0.8335,=,=,=,0.9881
252,252,1.0,EW,85,4.06,4.33,-0.27,0.302,-2.78,0.0033,+,+,+,0.0029
252,504,0.3,DFL-MVO,85,3.76,5.449999809265137,-1.69,0.59,-5.44,0.0,+,+,+,0.0
252,504,0.3,PTO-MDD,85,3.76,7.12,-3.36,0.802,-7.39,0.0,+,+,+,0.0
252,504,0.3,PTO-MVO,85,3.76,3.85,-0.09,0.095,-0.87,0.1922,=,=,=,0.5114
252,504,0.3,GMV,85,3.76,3.83,-0.07,0.074,-0.68,0.2487,=,=,=,0.5427
252,504,0.3,hist-MVO,85,3.76,4.0,-0.24,0.171,-1.57,0.0599,+,=,=,0.8054
252,504,0.3,EW,85,3.76,4.33,-0.56,0.418,-3.86,0.0001,+,+,+,0.0004
252,504,0.5,DFL-MVO,85,3.8,5.059999942779541,-1.25,0.533,-4.91,0.0,+,+,+,0.0
252,504,0.5,PTO-MDD,85,3.8,7.12,-3.32,0.793,-7.31,0.0,+,+,+,0.0
252,504,0.5,PTO-MVO,85,3.8,3.85,-0.05,0.059,-0.55,0.2926,=,=,=,0.5166
252,504,0.5,GMV,85,3.8,3.83,-0.02,0.032,-0.29,0.3852,=,=,=,0.628
252,504,0.5,hist-MVO,85,3.8,4.0,-0.2,0.149,-1.37,0.0872,+,=,=,0.1391
252,504,0.5,EW,85,3.8,4.33,-0.52,0.443,-4.08,0.0001,+,+,+,0.0001
252,504,0.7,DFL-MVO,85,3.89,4.889999866485596,-1.0,0.351,-3.24,0.0009,+,+,+,0.0001
252,504,0.7,PTO-MDD,85,3.89,7.12,-3.23,0.791,-7.29,0.0,+,+,+,0.0
252,504,0.7,PTO-MVO,85,3.89,3.85,0.04,0.042,0.38,0.6486,=,=,=,0.7968
252,504,0.7,GMV,85,3.89,3.83,0.06,0.069,0.63,0.736,=,=,=,0.8042
252,504,0.7,hist-MVO,85,3.89,4.0,-0.11,0.084,-0.77,0.2209,=,=,=,0.3188
252,504,0.7,EW,85,3.89,4.33,-0.43,0.378,-3.49,0.0004,+,+,+,0.0004
252,504,1.0,DFL-MVO,85,4.24,4.860000133514404,-0.62,0.224,-2.06,0.0212,+,+,=,0.1315
252,504,1.0,PTO-MDD,85,4.24,7.12,-2.89,0.738,-6.8,0.0,+,+,+,0.0
252,504,1.0,PTO-MVO,85,4.24,3.85,0.38,0.365,3.37,0.9994,-,-,-,0.9999
252,504,1.0,GMV,85,4.24,3.83,0.41,0.393,3.63,0.9998,-,-,-,1.0
252,504,1.0,hist-MVO,85,4.24,4.0,0.23,0.181,1.67,0.9506,-,-,=,0.9988
252,504,1.0,EW,85,4.24,4.33,-0.09,0.092,-0.85,0.1998,=,=,=,0.252
