tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.4,0.6104,2.49,32.16,34.95,0.2924,0.3341,0.5206
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.82,0.3993,2.73,36.42,39.76,0.1597,0.4796,0.5022
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.38,0.4816,2.72,29.46,31.97,0.2505,0.5474,0.4882
0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.0,0.6379,2.6,26.05,27.93,0.3839,0.4995,0.7168
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",10.62,0.6343,2.7,33.5,36.3,0.3171,0.3245,0.6115
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",11.73,0.7034,2.7,32.45,35.52,0.3615,0.3907,0.7293
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",9.24,0.5761,2.69,32.67,35.28,0.2828,0.4489,0.6999
0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.42,0.4603,2.99,35.95,38.7,0.2063,0.5408,0.7623
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.46,0.1703,4.25,77.47,116.35,0.0059,0.7131,0.0758
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.65,0.2112,4.43,77.47,116.35,0.0213,0.8026,0.0707
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.51,0.1401,4.23,77.47,116.35,-0.0066,0.7263,0.0848
0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.17,0.1539,4.38,77.47,116.35,-0.0022,0.7347,0.0892
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.09,0.3431,4.58,77.47,116.35,0.0786,0.7402,0.0816
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.45,0.2401,4.67,77.47,116.35,0.0317,0.8188,0.0885
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",3.01,0.2562,4.66,77.47,116.35,0.0388,0.8231,0.0952
0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.99,0.2242,4.51,77.47,116.35,0.0257,0.7292,0.0882
0,PTO-MVO,PTO-MVO (LB=252),7.56,0.5056,2.57,35.96,39.12,0.2103,0.1859,0.0803
0,PTO-MVO,PTO-MVO (LB=504),5.84,0.4067,2.63,37.24,40.52,0.1569,0.185,0.0544
0,DFL-MVO,DFL-MVO (LB=252),7.13,0.4122,3.35,40.95,44.25,0.1742,1.0,0.4731
0,DFL-MVO,DFL-MVO (LB=504),9.35,0.529,3.12,43.58,48.79,0.2146,1.0,0.2581
0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.0327
0,Benchmark,GMV (LB=252),7.91,0.5268,2.56,34.81,37.83,0.2274,0.1792,0.0797
0,Benchmark,hist-MVO (LB=252),11.5,0.6811,2.77,33.62,36.7,0.342,0.2261,0.2701
0,Benchmark,GMV (LB=504),6.41,0.4388,2.61,36.14,39.3,0.1774,0.1838,0.0531
0,Benchmark,hist-MVO (LB=504),7.73,0.4935,2.76,33.61,36.44,0.2299,0.1979,0.1495
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.07,0.5925,2.49,32.27,35.1,0.2809,0.3341,0.5206
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.5,0.3831,2.73,36.44,39.77,0.151,0.4796,0.5022
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.07,0.4657,2.72,29.46,31.96,0.2399,0.5474,0.4882
5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.53,0.6134,2.6,26.1,27.97,0.3652,0.4995,0.7168
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",10.22,0.6149,2.7,33.52,36.32,0.305,0.3245,0.6115
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",11.25,0.6795,2.71,32.48,35.55,0.3463,0.3907,0.7293
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.79,0.5534,2.69,32.69,35.3,0.2688,0.4489,0.6999
5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.93,0.4374,2.99,35.96,38.7,0.1928,0.5408,0.7623
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.41,0.1689,4.25,77.47,116.35,0.0053,0.7131,0.0758
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.6,0.2099,4.43,77.47,116.35,0.0207,0.8026,0.0707
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.56,0.1385,4.23,77.47,116.35,-0.0073,0.7263,0.0848
5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.23,0.1522,4.38,77.47,116.35,-0.0029,0.7347,0.0892
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.04,0.3416,4.58,77.47,116.35,0.0779,0.7402,0.0816
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.4,0.2385,4.67,77.47,116.35,0.031,0.8188,0.0885
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.95,0.2545,4.66,77.47,116.35,0.0381,0.8231,0.0952
5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.94,0.2226,4.51,77.47,116.35,0.025,0.7292,0.0882
5,PTO-MVO,PTO-MVO (LB=252),7.51,0.5029,2.57,35.97,39.13,0.2088,0.1859,0.0803
5,PTO-MVO,PTO-MVO (LB=504),5.81,0.4049,2.63,37.24,40.52,0.156,0.185,0.0544
5,DFL-MVO,DFL-MVO (LB=252),6.83,0.4001,3.35,40.95,44.25,0.1669,1.0,0.4731
5,DFL-MVO,DFL-MVO (LB=504),9.19,0.5218,3.12,43.64,48.89,0.2105,1.0,0.2581
5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.0327
5,Benchmark,GMV (LB=252),7.86,0.5241,2.56,34.81,37.83,0.2259,0.1792,0.0797
5,Benchmark,hist-MVO (LB=252),11.32,0.6724,2.77,33.63,36.71,0.3366,0.2261,0.2701
5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.15,39.3,0.1765,0.1838,0.0531
5,Benchmark,hist-MVO (LB=504),7.63,0.4887,2.76,33.62,36.45,0.227,0.1979,0.1495
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.73,0.5745,2.49,32.39,35.25,0.2695,0.3341,0.5206
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",5.19,0.3669,2.73,36.48,39.82,0.1422,0.4796,0.5022
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.76,0.4498,2.72,29.46,31.96,0.2294,0.5474,0.4882
10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.07,0.5888,2.6,26.15,28.02,0.3467,0.4995,0.7168
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.82,0.5955,2.7,33.54,36.33,0.2929,0.3245,0.6115
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.77,0.6556,2.71,32.51,35.58,0.3312,0.3907,0.7293
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",8.34,0.5306,2.7,32.71,35.32,0.2548,0.4489,0.6999
10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.45,0.4145,2.99,35.96,38.69,0.1793,0.5408,0.7623
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.37,0.1674,4.25,77.47,116.35,0.0047,0.7131,0.0758
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.56,0.2086,4.43,77.47,116.35,0.0202,0.8026,0.0707
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.61,0.1369,4.23,77.47,116.35,-0.0079,0.7263,0.0848
10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.28,0.1506,4.38,77.47,116.35,-0.0036,0.7347,0.0892
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.99,0.3402,4.58,77.47,116.35,0.0773,0.7402,0.0816
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.35,0.237,4.67,77.47,116.35,0.0303,0.8188,0.0885
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.89,0.2529,4.66,77.47,116.35,0.0373,0.8231,0.0952
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.89,0.221,4.51,77.47,116.35,0.0243,0.7292,0.0882
10,PTO-MVO,PTO-MVO (LB=252),7.46,0.5002,2.57,35.97,39.13,0.2074,0.1859,0.0803
10,PTO-MVO,PTO-MVO (LB=504),5.78,0.4031,2.63,37.24,40.52,0.1551,0.185,0.0544
10,DFL-MVO,DFL-MVO (LB=252),6.53,0.388,3.35,40.95,44.25,0.1595,1.0,0.4731
10,DFL-MVO,DFL-MVO (LB=504),9.02,0.5145,3.12,43.69,48.98,0.2064,1.0,0.2581
10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.0327
10,Benchmark,GMV (LB=252),7.81,0.5214,2.56,34.82,37.84,0.2244,0.1792,0.0797
10,Benchmark,hist-MVO (LB=252),11.14,0.6638,2.77,33.64,36.72,0.3311,0.2261,0.2701
10,Benchmark,GMV (LB=504),6.34,0.4353,2.61,36.15,39.31,0.1755,0.1838,0.0531
10,Benchmark,hist-MVO (LB=504),7.54,0.4839,2.76,33.62,36.46,0.2241,0.1979,0.1495
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.06,0.5384,2.49,32.62,35.56,0.2471,0.3341,0.5206
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",4.56,0.3345,2.73,36.59,39.96,0.1247,0.4796,0.5022
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.14,0.418,2.72,29.49,31.96,0.2082,0.5474,0.4882
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",8.14,0.5395,2.61,26.26,28.11,0.3101,0.4995,0.7168
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.03,0.5565,2.7,33.57,36.36,0.2689,0.3245,0.6115
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.81,0.6077,2.71,32.58,35.64,0.3012,0.3907,0.7293
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.44,0.485,2.7,32.75,35.35,0.2271,0.4489,0.6999
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",5.49,0.3687,2.99,35.96,38.69,0.1526,0.5408,0.7623
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.28,0.1646,4.25,77.47,116.35,0.0036,0.7131,0.0758
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.48,0.206,4.43,77.47,116.35,0.0191,0.8026,0.0707
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.71,0.1337,4.23,77.47,116.35,-0.0092,0.7263,0.0848
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.38,0.1472,4.38,77.47,116.35,-0.005,0.7347,0.0892
