H,LB,lam,비교대상,n,DFL-MDD,비교모델,차이,Cohen d,t,p (one-sided),유의(0.10),유의(0.05),유의(0.01),Wilcoxon p
126,252,0.3,DFL-MVO,91,3.96,4.159999847412109,-0.19,0.085,-0.81,0.2105,–,–,–,0.1034
126,252,0.3,PTO-MDD,91,3.96,5.35,-1.38,0.576,-5.49,0.0,✓,✓,✓,0.0
126,252,0.3,PTO-MVO,91,3.96,3.55,0.41,0.417,3.98,0.9999,✗,✗,✗,1.0
126,252,0.3,GMV,91,3.96,3.48,0.49,0.506,4.83,1.0,✗,✗,✗,1.0
126,252,0.3,hist-MVO,91,3.96,3.98,-0.02,0.01,-0.1,0.4603,–,–,–,0.7482
126,252,0.3,EW,91,3.96,4.62,-0.66,0.447,-4.26,0.0,✓,✓,✓,0.0
126,252,0.5,DFL-MVO,91,4.04,5.25,-1.21,0.487,-4.64,0.0,✓,✓,✓,0.0
126,252,0.5,PTO-MDD,91,4.04,5.35,-1.31,0.577,-5.51,0.0,✓,✓,✓,0.0
126,252,0.5,PTO-MVO,91,4.04,3.55,0.49,0.446,4.25,1.0,✗,✗,✗,1.0
126,252,0.5,GMV,91,4.04,3.48,0.56,0.566,5.4,1.0,✗,✗,✗,1.0
126,252,0.5,hist-MVO,91,4.04,3.98,0.06,0.037,0.35,0.6367,–,–,–,0.8123
126,252,0.5,EW,91,4.04,4.62,-0.59,0.391,-3.73,0.0002,✓,✓,✓,0.0002
126,252,0.7,DFL-MVO,91,4.32,4.730000019073486,-0.41,0.168,-1.6,0.0562,✓,–,–,0.0576
126,252,0.7,PTO-MDD,91,4.32,5.35,-1.02,0.438,-4.18,0.0,✓,✓,✓,0.0
126,252,0.7,PTO-MVO,91,4.32,3.55,0.77,0.708,6.75,1.0,✗,✗,✗,1.0
126,252,0.7,GMV,91,4.32,3.48,0.85,0.746,7.12,1.0,✗,✗,✗,1.0
126,252,0.7,hist-MVO,91,4.32,3.98,0.34,0.181,1.73,0.9565,✗,✗,–,0.9905
126,252,0.7,EW,91,4.32,4.62,-0.3,0.218,-2.08,0.0204,✓,✓,–,0.0398
126,252,1.0,DFL-MVO,91,4.83,5.019999980926514,-0.19,0.077,-0.73,0.2325,–,–,–,0.071
126,252,1.0,PTO-MDD,91,4.83,5.35,-0.51,0.215,-2.06,0.0214,✓,✓,–,0.0384
126,252,1.0,PTO-MVO,91,4.83,3.55,1.28,1.075,10.25,1.0,✗,✗,✗,1.0
126,252,1.0,GMV,91,4.83,3.48,1.36,1.204,11.48,1.0,✗,✗,✗,1.0
126,252,1.0,hist-MVO,91,4.83,3.98,0.85,0.573,5.47,1.0,✗,✗,✗,1.0
126,252,1.0,EW,91,4.83,4.62,0.21,0.21,2.0,0.9757,✗,✗,–,0.9871
126,504,0.3,DFL-MVO,91,3.94,5.199999809265137,-1.25,0.428,-4.08,0.0,✓,✓,✓,0.0
126,504,0.3,PTO-MDD,91,3.94,6.06,-2.12,0.585,-5.58,0.0,✓,✓,✓,0.0
126,504,0.3,PTO-MVO,91,3.94,3.63,0.31,0.346,3.3,0.9993,✗,✗,✗,1.0
126,504,0.3,GMV,91,3.94,3.56,0.38,0.472,4.5,1.0,✗,✗,✗,1.0
126,504,0.3,hist-MVO,91,3.94,3.88,0.07,0.048,0.45,0.6746,–,–,–,0.8959
126,504,0.3,EW,91,3.94,4.62,-0.68,0.444,-4.23,0.0,✓,✓,✓,0.0
126,504,0.5,DFL-MVO,91,3.97,4.28000020980835,-0.31,0.15,-1.44,0.0773,✓,–,–,0.0523
126,504,0.5,PTO-MDD,91,3.97,6.06,-2.1,0.585,-5.58,0.0,✓,✓,✓,0.0
126,504,0.5,PTO-MVO,91,3.97,3.63,0.34,0.444,4.23,1.0,✗,✗,✗,1.0
126,504,0.5,GMV,91,3.97,3.56,0.41,0.611,5.83,1.0,✗,✗,✗,1.0
126,504,0.5,hist-MVO,91,3.97,3.88,0.09,0.072,0.69,0.7535,–,–,–,0.9473
126,504,0.5,EW,91,3.97,4.62,-0.66,0.518,-4.94,0.0,✓,✓,✓,0.0
126,504,0.7,DFL-MVO,91,4.27,5.989999771118164,-1.71,0.608,-5.8,0.0,✓,✓,✓,0.0
126,504,0.7,PTO-MDD,91,4.27,6.06,-1.79,0.503,-4.8,0.0,✓,✓,✓,0.0
126,504,0.7,PTO-MVO,91,4.27,3.63,0.64,0.644,6.14,1.0,✗,✗,✗,1.0
126,504,0.7,GMV,91,4.27,3.56,0.71,0.715,6.82,1.0,✗,✗,✗,1.0
126,504,0.7,hist-MVO,91,4.27,3.88,0.4,0.276,2.63,0.995,✗,✗,✗,0.9999
126,504,0.7,EW,91,4.27,4.62,-0.35,0.264,-2.52,0.0068,✓,✓,✓,0.0082
126,504,1.0,DFL-MVO,91,5.04,5.130000114440918,-0.09,0.03,-0.29,0.3869,–,–,–,0.5892
126,504,1.0,PTO-MDD,91,5.04,6.06,-1.03,0.262,-2.5,0.0071,✓,✓,✓,0.021
126,504,1.0,PTO-MVO,91,5.04,3.63,1.41,0.995,9.49,1.0,✗,✗,✗,1.0
126,504,1.0,GMV,91,5.04,3.56,1.48,1.093,10.43,1.0,✗,✗,✗,1.0
126,504,1.0,hist-MVO,91,5.04,3.88,1.16,0.807,7.7,1.0,✗,✗,✗,1.0
126,504,1.0,EW,91,5.04,4.62,0.41,0.399,3.81,0.9999,✗,✗,✗,1.0
