H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.61,0.5443,3.03,40.19,43.73,0.2391,0.2406,0.8382
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.23,0.5257,3.18,34.86,38.63,0.2649,0.3718,0.9018
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",14.58,0.6987,3.23,41.07,44.39,0.3549,0.4301,0.9546
126,0,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.32,0.4305,3.16,34.0,37.47,0.2153,0.6412,0.855
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",11.33,0.6158,3.04,43.7,50.44,0.2591,0.2229,0.9097
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",11.29,0.5801,3.38,40.28,44.98,0.2802,0.3533,0.9737
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.86,0.4481,3.36,37.93,43.69,0.2072,0.4493,1.0193
126,0,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",11.61,0.5656,3.55,37.27,41.1,0.3117,0.5669,0.9444
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.16,0.5024,3.43,52.46,66.89,0.1746,0.8616,0.0418
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.39,0.5139,3.39,50.82,63.24,0.1848,0.8801,0.0395
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.7,0.4821,3.47,43.65,49.6,0.1993,0.8809,0.0545
126,0,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.47,0.4365,3.37,47.37,55.43,0.1578,0.8878,0.0383
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.5,0.2241,3.82,69.82,108.67,0.0358,0.85,0.0548
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.51,-0.0016,4.26,81.79,152.71,-0.0429,0.9011,0.0479
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",0.03,0.124,3.88,74.77,124.95,0.0004,0.818,0.0558
126,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.12,0.125,3.97,75.37,126.82,-0.0016,0.8404,0.0559
126,0,PTO-MVO,PTO-MVO (LB=252),6.52,0.4522,2.54,37.72,40.92,0.1729,0.1223,0.1354
126,0,PTO-MVO,PTO-MVO (LB=504),5.94,0.4164,2.56,38.86,42.46,0.1528,0.1188,0.0852
126,0,DFL-MVO,DFL-MVO (LB=252),8.79,0.4719,3.35,47.71,56.65,0.1843,1.0,0.5591
126,0,DFL-MVO,DFL-MVO (LB=504),13.83,0.6781,3.28,27.13,29.08,0.5096,1.0,1.0323
126,0,Benchmark,EW,10.03,0.5517,3.14,42.38,47.66,0.2368,0.0333,0.0367
126,0,Benchmark,GMV (LB=252),7.19,0.4961,2.5,35.43,38.36,0.2029,0.1123,0.1352
126,0,Benchmark,hist-MVO (LB=252),12.83,0.7242,2.88,35.3,38.35,0.3634,0.1718,0.4051
126,0,Benchmark,GMV (LB=504),6.41,0.4476,2.53,36.33,39.41,0.1765,0.1137,0.0841
126,0,Benchmark,hist-MVO (LB=504),8.57,0.5357,2.78,34.7,37.69,0.247,0.1423,0.2351
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.07,0.5205,3.03,40.72,43.86,0.2226,0.2406,0.8382
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.65,0.5003,3.18,34.97,38.78,0.2474,0.3718,0.9018
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",13.93,0.6744,3.24,41.08,44.4,0.339,0.4301,0.9546
126,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.78,0.4075,3.17,34.07,37.56,0.1989,0.6412,0.855
126,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",10.73,0.5901,3.05,43.94,50.83,0.2441,0.2229,0.9097
126,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.65,0.5549,3.38,40.36,45.11,0.2638,0.3533,0.9737
126,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.21,0.4214,3.37,38.17,44.07,0.1888,0.4493,1.0193
126,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.99,0.543,3.55,37.36,41.23,0.2941,0.5669,0.9444
126,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.13,0.5013,3.43,52.52,67.01,0.1739,0.8616,0.0418
126,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.37,0.5129,3.39,50.88,63.37,0.1841,0.8801,0.0395
126,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.66,0.4807,3.47,43.71,49.72,0.1982,0.8809,0.0545
126,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.45,0.4355,3.37,47.42,55.52,0.1571,0.8878,0.0383
126,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.47,0.2228,3.82,69.85,108.76,0.0354,0.85,0.0548
126,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.54,-0.0027,4.26,81.8,152.77,-0.0432,0.9011,0.0479
126,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",0.0,0.1226,3.88,74.79,125.05,0.0,0.818,0.0558
126,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.15,0.1237,3.97,75.39,126.89,-0.002,0.8404,0.0559
126,5,PTO-MVO,PTO-MVO (LB=252),6.44,0.4476,2.54,37.74,40.94,0.1705,0.1223,0.1354
126,5,PTO-MVO,PTO-MVO (LB=504),5.88,0.4135,2.56,38.87,42.47,0.1514,0.1188,0.0852
126,5,DFL-MVO,DFL-MVO (LB=252),8.43,0.458,3.35,47.71,56.65,0.1768,1.0,0.5591
126,5,DFL-MVO,DFL-MVO (LB=504),13.13,0.6515,3.28,27.28,29.25,0.4814,1.0,1.0323
126,5,Benchmark,EW,10.01,0.5507,3.14,42.38,47.66,0.2362,0.0333,0.0367
126,5,Benchmark,GMV (LB=252),7.1,0.4914,2.5,35.43,38.36,0.2004,0.1123,0.1352
126,5,Benchmark,hist-MVO (LB=252),12.56,0.7117,2.88,35.32,38.37,0.3555,0.1718,0.4051
126,5,Benchmark,GMV (LB=504),6.36,0.4447,2.53,36.34,39.41,0.175,0.1137,0.0841
126,5,Benchmark,hist-MVO (LB=504),8.42,0.5282,2.78,34.71,37.7,0.2426,0.1423,0.2351
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.52,0.4966,3.03,41.25,44.07,0.2067,0.2406,0.8382
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.07,0.4748,3.18,35.08,38.93,0.2301,0.3718,0.9018
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",13.28,0.6501,3.24,41.1,44.41,0.3233,0.4301,0.9546
126,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.24,0.3845,3.17,34.14,37.65,0.1827,0.6412,0.855
