date_idx,date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
4528,2018-01-02,0.144492,0.037195,0.086200,0.079718,0.091000,0.103415,0.102058,0.117527,0.162101,0.076293
4549,2018-02-01,0.147563,0.048510,0.089329,0.072988,0.085684,0.097049,0.096794,0.109170,0.171356,0.081558
4570,2018-03-05,0.168589,0.044473,0.080638,0.064524,0.059672,0.095545,0.105942,0.096812,0.207582,0.076224
4591,2018-04-04,0.183589,0.033899,0.076644,0.070988,0.037350,0.108373,0.091223,0.090671,0.239975,0.067289
4612,2018-05-03,0.180478,0.027432,0.074379,0.075692,0.028998,0.110514,0.082766,0.084415,0.253846,0.081480
4633,2018-06-04,0.177899,0.032226,0.072619,0.070978,0.030961,0.113619,0.082707,0.079632,0.255791,0.083567
4654,2018-07-03,0.177190,0.031570,0.076682,0.070782,0.032990,0.108705,0.084034,0.075107,0.259401,0.083539
4675,2018-08-02,0.178570,0.028279,0.068664,0.073544,0.029589,0.116713,0.090391,0.067997,0.256881,0.089372
4696,2018-08-31,0.173479,0.025066,0.067217,0.070140,0.036499,0.115758,0.092948,0.073407,0.252724,0.092763
4717,2018-10-02,0.172376,0.025866,0.064704,0.075868,0.036886,0.111161,0.095147,0.074072,0.247990,0.095930
4738,2018-10-31,0.189569,0.042608,0.057772,0.067563,0.015884,0.098735,0.081016,0.070469,0.282794,0.093589
4759,2018-11-30,0.203447,0.050927,0.060992,0.053691,0.001905,0.107085,0.071718,0.065026,0.294448,0.090761
4779,2019-01-02,0.222090,0.040994,0.054272,0.030289,0.000049,0.132798,0.048285,0.058241,0.318082,0.094900
4800,2019-02-01,0.221445,0.035883,0.045331,0.035858,0.000286,0.142932,0.049704,0.048482,0.322270,0.097810
4821,2019-03-05,0.206301,0.040159,0.048513,0.041579,0.000015,0.148970,0.041902,0.058778,0.309423,0.104358
4842,2019-04-03,0.198835,0.044049,0.051322,0.031933,0.000067,0.144953,0.049117,0.068575,0.300416,0.110733
4863,2019-05-03,0.203590,0.052015,0.053294,0.029972,0.000585,0.141602,0.054885,0.071490,0.288489,0.104079
4884,2019-06-04,0.200094,0.044502,0.045581,0.026211,0.000262,0.148096,0.058118,0.073999,0.297370,0.105766
4905,2019-07-03,0.206390,0.040618,0.041302,0.030718,0.000058,0.158087,0.058737,0.073830,0.290989,0.099270
4926,2019-08-02,0.201806,0.039700,0.049161,0.032701,0.000079,0.152022,0.055253,0.080003,0.300580,0.088696
4947,2019-09-03,0.212584,0.037309,0.047269,0.017894,0.000006,0.162043,0.052093,0.075566,0.320081,0.075154
