date_idx,date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
4528,2018-01-02,0.183264,0.002394,0.129832,0.150949,0.061366,0.051214,0.122680,0.091951,0.173570,0.032780
4549,2018-02-01,0.187740,0.012527,0.132701,0.145883,0.055630,0.044850,0.118274,0.082291,0.183058,0.037045
4570,2018-03-05,0.208121,0.009107,0.123714,0.135860,0.030075,0.043311,0.127902,0.070689,0.218814,0.032406
4591,2018-04-04,0.222736,0.000000,0.119071,0.141707,0.009526,0.055944,0.112523,0.064565,0.251056,0.022873
4612,2018-05-03,0.219187,0.000001,0.115753,0.143922,0.000070,0.058989,0.102188,0.058138,0.264440,0.037313
4633,2018-06-04,0.217021,0.000001,0.114400,0.138813,0.002327,0.063597,0.101860,0.053703,0.268206,0.040072
4654,2018-07-03,0.216731,0.000001,0.118621,0.137966,0.003617,0.059869,0.102571,0.048637,0.270452,0.041535
4675,2018-08-02,0.217157,0.000001,0.108850,0.140271,0.000370,0.067564,0.109885,0.040276,0.266934,0.048691
4696,2018-08-31,0.212089,0.000001,0.106934,0.135700,0.006288,0.066968,0.112150,0.044413,0.263814,0.051643
4717,2018-10-02,0.212181,0.000000,0.104332,0.141715,0.006554,0.060738,0.115382,0.045565,0.259890,0.053642
4738,2018-10-31,0.228738,0.011379,0.095616,0.131227,0.000000,0.050003,0.101526,0.040602,0.290447,0.050462
4759,2018-11-30,0.241573,0.018686,0.097514,0.114312,0.000000,0.056892,0.090197,0.032184,0.302611,0.046031
4779,2019-01-02,0.244843,0.025676,0.086885,0.077612,0.000000,0.101111,0.060065,0.031569,0.318933,0.053305
4800,2019-02-01,0.243914,0.021056,0.077237,0.082623,0.000000,0.111475,0.061454,0.021771,0.324378,0.056091
4821,2019-03-05,0.229089,0.025004,0.080109,0.089605,0.000000,0.117607,0.053443,0.030954,0.312405,0.061782
4842,2019-04-03,0.221008,0.029118,0.083045,0.080710,0.000000,0.113802,0.060130,0.040020,0.304421,0.067747
4863,2019-05-03,0.225758,0.038263,0.084910,0.078267,0.000000,0.109305,0.066384,0.044275,0.292736,0.060101
4884,2019-06-04,0.222766,0.030306,0.077325,0.076437,0.000000,0.113945,0.070270,0.046459,0.300951,0.061540
4905,2019-07-03,0.227932,0.026123,0.072681,0.081532,0.000000,0.123408,0.070702,0.045974,0.296907,0.054741
4926,2019-08-02,0.223824,0.024982,0.080402,0.083653,0.000000,0.117673,0.067018,0.052976,0.306849,0.042623
4947,2019-09-03,0.234318,0.021719,0.078338,0.070077,0.000000,0.127604,0.063750,0.048700,0.326418,0.029074
4968,2019-10-02,0.239402,0.018113,0.079603,0.064720,0.000000,0.128639,0.060977,0.047652,0.335373,0.025521
4989,2019-10-31,0.225462,0.003116,0.082558,0.062025,0.000000,0.147253,0.076606,0.054284,0.319102,0.029593
5010,2019-12-02,0.216086,0.000000,0.081912,0.076136,0.000000,0.146288,0.089227,0.059333,0.300033,0.030986
5031,2020-01-02,0.190967,0.000001,0.093557,0.097104,0.000000,0.122437,0.123310,0.069750,0.272689,0.030185
5031,2020-01-02,0.181570,0.008903,0.092174,0.082460,0.000000,0.114346,0.123388,0.083387,0.275177,0.038594
5052,2020-02-03,0.174791,0.011689,0.101914,0.077023,0.000000,0.104737,0.136358,0.100062,0.268542,0.024884
5073,2020-03-04,0.198377,0.000000,0.105666,0.066712,0.000000,0.124060,0.134197,0.117010,0.250585,0.003393
5094,2020-04-02,0.225840,0.000000,0.000000,0.000000,0.000000,0.193091,0.313865,0.267204,0.000000,0.000000
5115,2020-05-04,0.243421,0.000000,0.000000,0.000000,0.000000,0.180132,0.307558,0.268889,0.000000,0.000000
5136,2020-06-03,0.240914,0.000000,0.000000,0.000000,0.000000,0.150214,0.321923,0.286950,0.000000,0.000000
5157,2020-07-02,0.225339,0.000000,0.000000,0.000000,0.000000,0.143315,0.342903,0.288443,0.000000,0.000000
5178,2020-08-03,0.231326,0.000000,0.000000,0.000000,0.000000,0.147652,0.331543,0.289479,0.000000,0.000000
5199,2020-09-01,0.221445,0.000000,0.000000,0.000000,0.000000,0.145036,0.338873,0.294646,0.000000,0.000000
5220,2020-10-01,0.221338,0.000000,0.000000,0.000000,0.000000,0.170857,0.311604,0.296202,0.000000,0.000000
5241,2020-10-30,0.229041,0.000000,0.000000,0.000000,0.000000,0.171815,0.300654,0.298489,0.000000,0.000000
5262,2020-12-01,0.234018,0.000000,0.000000,0.000000,0.000000,0.175888,0.292428,0.297666,0.000000,0.000000
5283,2020-12-31,0.230403,0.000000,0.000000,0.000000,0.000000,0.175594,0.295200,0.298803,0.000000,0.000000
5284,2021-01-04,0.234518,0.000000,0.000000,0.000000,0.000000,0.169942,0.297887,0.297653,0.000000,0.000000
5305,2021-02-03,0.240973,0.000000,0.000000,0.000000,0.000000,0.160804,0.295228,0.302995,0.000000,0.000000
5326,2021-03-05,0.241537,0.000000,0.000000,0.000000,0.000000,0.158490,0.295680,0.304293,0.000000,0.000000
5347,2021-04-06,0.273400,0.000000,0.001895,0.000000,0.000000,0.137775,0.222942,0.240194,0.123793,0.000000
5368,2021-05-05,0.223379,0.000000,0.035129,0.000000,0.003725,0.116661,0.214114,0.215286,0.191705,0.000000
5389,2021-06-04,0.210822,0.000000,0.065906,0.000000,0.000000,0.135282,0.192533,0.194924,0.200533,0.000000
5410,2021-07-06,0.211860,0.000000,0.102601,0.000000,0.003672,0.130591,0.167228,0.180190,0.184842,0.019015
5431,2021-08-04,0.224401,0.000000,0.104615,0.000000,0.004325,0.132340,0.153392,0.182268,0.182343,0.016316
5452,2021-09-02,0.223168,0.000000,0.104744,0.000000,0.001799,0.130110,0.155197,0.181389,0.191121,0.012471
5473,2021-10-04,0.213971,0.000000,0.100978,0.000000,0.030725,0.107956,0.168069,0.177535,0.187436,0.013330
5494,2021-11-02,0.214231,0.000000,0.095474,0.004072,0.047052,0.093478,0.178727,0.174228,0.174841,0.017897
5515,2021-12-02,0.206091,0.000000,0.092565,0.024825,0.041597,0.085022,0.165945,0.180468,0.179460,0.024028
5536,2022-01-03,0.210408,0.000000,0.088474,0.028785,0.029031,0.093783,0.162340,0.188979,0.185164,0.013035
5536,2022-01-03,0.215093,0.000000,0.093854,0.029307,0.031011,0.101575,0.152655,0.183683,0.186706,0.006115
5557,2022-02-02,0.219590,0.000000,0.106761,0.039676,0.014374,0.093392,0.126369,0.179850,0.205878,0.014111
5578,2022-03-04,0.229893,0.000000,0.094734,0.054186,0.010081,0.101961,0.119906,0.183913,0.205325,0.000001
5599,2022-04-04,0.223662,0.000000,0.090012,0.078231,0.000001,0.096197,0.110218,0.181329,0.220350,0.000000
5620,2022-05-04,0.249498,0.000000,0.102823,0.076112,0.000000,0.092616,0.073002,0.180095,0.225853,0.000000
5641,2022-06-03,0.245631,0.000000,0.092619,0.059317,0.000000,0.116767,0.035287,0.182231,0.268147,0.000000
5662,2022-07-06,0.280534,0.000000,0.078995,0.057594,0.000000,0.125484,0.019604,0.185409,0.252379,0.000000
5683,2022-08-04,0.283375,0.000000,0.075373,0.060251,0.000000,0.129807,0.011703,0.183454,0.256036,0.000000
5704,2022-09-02,0.294728,0.000000,0.060911,0.070222,0.000000,0.130515,0.002448,0.184291,0.256884,0.000000
5725,2022-10-04,0.322961,0.000000,0.054819,0.069622,0.000000,0.111431,0.000000,0.203282,0.237885,0.000000
5746,2022-11-02,0.336683,0.000000,0.031909,0.080319,0.000000,0.119536,0.000000,0.212893,0.218661,0.000000
5767,2022-12-02,0.358162,0.000000,0.007088,0.088800,0.000000,0.119948,0.000000,0.211737,0.214265,0.000000
5787,2023-01-03,0.349990,0.000000,0.013215,0.083142,0.000000,0.115612,0.000000,0.218287,0.219754,0.000000
5808,2023-02-02,0.339736,0.000000,0.003993,0.082550,0.000000,0.129185,0.000000,0.227916,0.216618,0.000001
5829,2023-03-06,0.340876,0.000000,0.018935,0.078225,0.000000,0.114108,0.000000,0.235131,0.205925,0.006800
5850,2023-04-04,0.360779,0.000000,0.023017,0.061615,0.000000,0.115119,0.000000,0.242546,0.188359,0.008564
5871,2023-05-04,0.360832,0.000000,0.025105,0.060447,0.000000,0.106114,0.002671,0.258970,0.177025,0.008836
5892,2023-06-05,0.368050,0.000000,0.027153,0.071646,0.000000,0.082713,0.046942,0.251321,0.139991,0.012183
5913,2023-07-06,0.335569,0.000000,0.035046,0.072200,0.000000,0.064870,0.064623,0.257980,0.144079,0.025633
5934,2023-08-04,0.325764,0.000000,0.049833,0.082088,0.000000,0.047665,0.071790,0.251634,0.132445,0.038781
5955,2023-09-05,0.312143,0.000000,0.064887,0.071069,0.000000,0.048132,0.086293,0.252111,0.120794,0.044571
5976,2023-10-04,0.291356,0.000000,0.070641,0.077435,0.000001,0.064637,0.098495,0.243306,0.119444,0.034685
5997,2023-11-02,0.257079,0.000000,0.087052,0.080763,0.003536,0.048342,0.103890,0.231840,0.136341,0.051158
6018,2023-12-04,0.234166,0.000000,0.093552,0.082428,0.060251,0.043411,0.115318,0.198259,0.127745,0.044870
6037,2024-01-02,0.219410,0.000000,0.091317,0.093429,0.083057,0.049564,0.126372,0.190224,0.112519,0.034107
6058,2024-02-01,0.213069,0.000000,0.097252,0.091542,0.088393,0.045567,0.132150,0.184639,0.106698,0.040690
6079,2024-03-04,0.199789,0.000000,0.093786,0.087292,0.100463,0.059410,0.141099,0.178842,0.105141,0.034180
6100,2024-04-03,0.181311,0.000000,0.099631,0.104290,0.103258,0.054463,0.128925,0.169844,0.104063,0.054215
6121,2024-05-02,0.174054,0.000000,0.102392,0.107539,0.095045,0.068522,0.129435,0.167017,0.100207,0.055789
6142,2024-06-03,0.163893,0.000000,0.101979,0.120056,0.097655,0.083447,0.125796,0.161284,0.085072,0.060818
6163,2024-07-03,0.160353,0.000000,0.114128,0.122038,0.100418,0.076536,0.122264,0.156838,0.082100,0.065325
6184,2024-08-02,0.161849,0.000000,0.095905,0.132218,0.094736,0.082162,0.121406,0.160153,0.091950,0.059622
6205,2024-09-03,0.183015,0.000000,0.099083,0.128885,0.088691,0.089626,0.108961,0.148404,0.098145,0.055191
6226,2024-10-02,0.190311,0.000000,0.097108,0.115397,0.080318,0.087272,0.120996,0.148190,0.107311,0.053097
6247,2024-10-31,0.194421,0.000000,0.096001,0.115622,0.083859,0.102752,0.111837,0.141500,0.106337,0.047671
6268,2024-12-02,0.194617,0.000000,0.090560,0.117829,0.082201,0.106175,0.111311,0.135820,0.122560,0.038927
6289,2025-01-02,0.206161,0.000000,0.098320,0.117207,0.075948,0.100302,0.105003,0.138702,0.122899,0.035459
6289,2025-01-02,0.209383,0.000000,0.085864,0.107060,0.082456,0.110257,0.113469,0.138091,0.119472,0.033947
6310,2025-02-04,0.203120,0.000000,0.078709,0.112692,0.093011,0.120703,0.115826,0.135573,0.119541,0.020826
6331,2025-03-06,0.212301,0.000000,0.077562,0.105447,0.090052,0.114434,0.111886,0.141943,0.127546,0.018830
6352,2025-04-04,0.240151,0.000000,0.067332,0.083874,0.074417,0.120317,0.101110,0.159167,0.149154,0.004479
6373,2025-05-06,0.308659,0.000000,0.055124,0.031251,0.018419,0.118792,0.128335,0.154855,0.184565,0.000001
6394,2025-06-05,0.313771,0.000000,0.055339,0.036230,0.015661,0.123593,0.128734,0.132927,0.191926,0.001821
