date_idx,date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
4528,2018-01-02,0.085761,0.000008,0.206862,0.006666,0.168137,0.086205,0.086590,0.029808,0.204433,0.125530
4549,2018-02-01,0.043456,0.000038,0.218516,0.020487,0.215041,0.039406,0.116906,0.072802,0.106184,0.167164
4570,2018-03-05,0.042735,0.000004,0.181883,0.000070,0.247419,0.023023,0.123017,0.086238,0.117059,0.178551
4591,2018-04-04,0.047254,0.000000,0.176645,0.020779,0.209052,0.021840,0.102464,0.089151,0.153090,0.179723
4612,2018-05-03,0.000646,0.000001,0.123963,0.026475,0.262007,0.003894,0.146717,0.061832,0.196204,0.178260
4633,2018-06-04,0.001968,0.000003,0.146890,0.035935,0.265817,0.000444,0.150303,0.063947,0.161893,0.172799
4654,2018-07-03,0.000526,0.000008,0.130086,0.025734,0.273037,0.008223,0.153016,0.069551,0.133454,0.206366
4675,2018-08-02,0.019798,0.000002,0.128555,0.068425,0.228238,0.010100,0.141431,0.058693,0.136244,0.208514
4696,2018-08-31,0.000122,0.000002,0.096394,0.014762,0.235886,0.032940,0.192335,0.094103,0.155952,0.177505
4717,2018-10-02,0.015141,0.000000,0.113001,0.032401,0.209592,0.032447,0.199088,0.107704,0.125039,0.165585
4738,2018-10-31,0.065470,0.000000,0.073832,0.000004,0.147761,0.071406,0.182357,0.125366,0.198424,0.135379
4759,2018-11-30,0.091777,0.000000,0.078023,0.000001,0.134398,0.057211,0.166284,0.154742,0.222008,0.095556
4779,2019-01-02,0.080907,0.000000,0.078214,0.000000,0.132255,0.049734,0.155884,0.170352,0.280976,0.051678
4800,2019-02-01,0.083256,0.000000,0.077920,0.000000,0.109331,0.034235,0.174310,0.157810,0.285526,0.077612
4821,2019-03-05,0.072687,0.000000,0.087965,0.000001,0.123876,0.057430,0.164677,0.128445,0.295626,0.069293
4842,2019-04-03,0.074176,0.000000,0.080314,0.000001,0.130849,0.053117,0.168832,0.114080,0.296633,0.081997
4863,2019-05-03,0.090229,0.000000,0.067677,0.000000,0.131010,0.077736,0.165954,0.071722,0.286379,0.109293
4884,2019-06-04,0.067919,0.000000,0.048877,0.000001,0.076966,0.118240,0.154933,0.099972,0.310570,0.122523
4905,2019-07-03,0.067153,0.000000,0.049996,0.000000,0.124176,0.136244,0.187308,0.050711,0.303584,0.080828
4926,2019-08-02,0.088946,0.000000,0.042109,0.000000,0.124790,0.116362,0.199092,0.046048,0.298870,0.083782
4947,2019-09-03,0.092459,0.000000,0.044236,0.000000,0.090809,0.138409,0.228564,0.040869,0.302311,0.062344
4968,2019-10-02,0.112014,0.000000,0.030396,0.000000,0.102167,0.158561,0.215501,0.004377,0.338211,0.038772
4989,2019-10-31,0.100166,0.000000,0.016871,0.000000,0.075019,0.206700,0.202776,0.046496,0.306464,0.045508
5010,2019-12-02,0.100610,0.000001,0.011916,0.000001,0.079808,0.218101,0.163239,0.081288,0.279685,0.065352
5031,2020-01-02,0.097321,0.000001,0.000046,0.000000,0.116165,0.171330,0.134108,0.091899,0.334029,0.055101
5031,2020-01-02,0.097321,0.000001,0.000046,0.000000,0.116165,0.171330,0.134108,0.091899,0.334029,0.055101
5052,2020-02-03,0.092894,0.007789,0.000001,0.000000,0.136348,0.159486,0.110183,0.050722,0.407729,0.034848
5073,2020-03-04,0.101064,0.016160,0.000001,0.000000,0.099110,0.192585,0.123008,0.094224,0.373841,0.000007
5094,2020-04-02,0.123207,0.000002,0.000001,0.000000,0.000037,0.237020,0.263313,0.232866,0.143554,0.000000
5115,2020-05-04,0.165025,0.000001,0.000001,0.000000,0.000015,0.244603,0.258675,0.255530,0.076150,0.000000
5136,2020-06-03,0.159110,0.000002,0.000000,0.000000,0.000007,0.243154,0.276357,0.242366,0.079004,0.000000
5157,2020-07-02,0.146683,0.000005,0.000000,0.000000,0.004967,0.209125,0.322163,0.256228,0.060828,0.000000
5178,2020-08-03,0.149991,0.014880,0.000000,0.000000,0.006148,0.199464,0.331241,0.228712,0.069563,0.000000
5199,2020-09-01,0.172014,0.093309,0.000000,0.000000,0.000005,0.195532,0.297047,0.198911,0.043182,0.000000
5220,2020-10-01,0.181181,0.066959,0.000000,0.000000,0.000007,0.209351,0.282705,0.197398,0.062398,0.000000
5241,2020-10-30,0.128886,0.063912,0.000003,0.000000,0.014527,0.181768,0.334118,0.213369,0.063416,0.000001
5262,2020-12-01,0.148973,0.086775,0.000001,0.000000,0.024956,0.204896,0.301059,0.205919,0.027420,0.000000
5283,2020-12-31,0.155135,0.112544,0.000001,0.000000,0.034025,0.193966,0.301753,0.202574,0.000002,0.000000
5284,2021-01-04,0.158537,0.115417,0.000001,0.000000,0.033236,0.190075,0.292409,0.210317,0.000007,0.000000
5305,2021-02-03,0.117727,0.132177,0.000001,0.000000,0.027309,0.177879,0.307497,0.237403,0.000006,0.000000
5326,2021-03-05,0.155975,0.089354,0.000000,0.000000,0.008670,0.232114,0.296440,0.217446,0.000000,0.000000
5347,2021-04-06,0.170578,0.091026,0.000000,0.000000,0.000016,0.201677,0.318531,0.218171,0.000001,0.000000
5368,2021-05-05,0.163642,0.082960,0.000004,0.000000,0.000011,0.185842,0.315085,0.252438,0.000017,0.000001
5389,2021-06-04,0.182348,0.081918,0.000001,0.000000,0.007529,0.159639,0.321742,0.246821,0.000001,0.000000
5410,2021-07-06,0.155175,0.087534,0.000000,0.000000,0.013829,0.159289,0.314794,0.269379,0.000000,0.000000
5431,2021-08-04,0.150393,0.088771,0.000006,0.000000,0.017495,0.141212,0.304418,0.297699,0.000005,0.000001
5452,2021-09-02,0.137599,0.088196,0.000001,0.000000,0.052715,0.134603,0.288029,0.298856,0.000000,0.000000
5473,2021-10-04,0.133502,0.101787,0.000001,0.000000,0.040168,0.131486,0.291961,0.301095,0.000000,0.000000
5494,2021-11-02,0.161483,0.136524,0.000001,0.000000,0.034822,0.078789,0.307479,0.280901,0.000001,0.000000
5515,2021-12-02,0.167511,0.123296,0.000001,0.000000,0.051345,0.046567,0.346044,0.265227,0.000009,0.000000
5536,2022-01-03,0.196554,0.103406,0.000003,0.000000,0.021885,0.061238,0.341217,0.275621,0.000075,0.000000
5536,2022-01-03,0.196554,0.103406,0.000003,0.000000,0.021885,0.061238,0.341217,0.275621,0.000075,0.000000
5557,2022-02-02,0.242223,0.075809,0.000029,0.000002,0.002410,0.094112,0.319138,0.266270,0.000007,0.000001
5578,2022-03-04,0.262400,0.071169,0.000008,0.008554,0.000009,0.095051,0.300769,0.262018,0.000022,0.000000
5599,2022-04-04,0.185611,0.131395,0.023576,0.121394,0.065748,0.000017,0.166113,0.132582,0.173547,0.000016
5620,2022-05-04,0.239715,0.114811,0.061351,0.117389,0.052143,0.000002,0.087689,0.098275,0.228608,0.000016
5641,2022-06-03,0.238810,0.083062,0.041355,0.144222,0.039169,0.002207,0.050892,0.122640,0.277631,0.000011
5662,2022-07-06,0.281540,0.063025,0.024599,0.140690,0.006160,0.038769,0.016136,0.159483,0.257892,0.011708
5683,2022-08-04,0.274951,0.075447,0.037204,0.162022,0.000092,0.000224,0.019585,0.133310,0.282141,0.015023
5704,2022-09-02,0.265829,0.039760,0.000901,0.195583,0.000001,0.000002,0.002326,0.163491,0.331997,0.000109
5725,2022-10-04,0.263429,0.038449,0.000002,0.235283,0.000003,0.000001,0.004154,0.196013,0.262649,0.000017
5746,2022-11-02,0.296703,0.024190,0.000003,0.269881,0.000002,0.000001,0.000018,0.232075,0.177003,0.000124
5767,2022-12-02,0.288138,0.000000,0.000001,0.264697,0.000000,0.000000,0.000001,0.221475,0.225679,0.000010
5787,2023-01-03,0.273380,0.000000,0.000007,0.256922,0.000001,0.000001,0.000002,0.214079,0.255600,0.000009
5808,2023-02-02,0.294648,0.000001,0.013926,0.248492,0.000002,0.000004,0.000012,0.176100,0.239145,0.027671
5829,2023-03-06,0.296152,0.000000,0.026749,0.210187,0.000001,0.000000,0.000007,0.204634,0.262240,0.000028
5850,2023-04-04,0.311759,0.000000,0.000011,0.219906,0.000004,0.000000,0.000008,0.233335,0.234976,0.000001
5871,2023-05-04,0.321288,0.000000,0.000001,0.203348,0.000000,0.000000,0.000000,0.250917,0.224445,0.000000
5892,2023-06-05,0.299593,0.000000,0.000001,0.189897,0.034027,0.000000,0.005868,0.249520,0.221094,0.000000
5913,2023-07-06,0.313426,0.000149,0.000651,0.191519,0.016886,0.000000,0.021757,0.214091,0.241517,0.000002
5934,2023-08-04,0.319708,0.000005,0.010259,0.237904,0.007810,0.000001,0.026890,0.195335,0.199887,0.002202
5955,2023-09-05,0.307493,0.000002,0.014574,0.262929,0.000230,0.000001,0.033596,0.207807,0.173358,0.000010
5976,2023-10-04,0.319305,0.000000,0.015299,0.248373,0.009635,0.000000,0.024584,0.220691,0.162112,0.000000
5997,2023-11-02,0.303758,0.000000,0.012207,0.224060,0.000030,0.000003,0.048468,0.216489,0.194981,0.000003
6018,2023-12-04,0.311787,0.000000,0.018453,0.217344,0.000005,0.013443,0.018149,0.211040,0.178511,0.031268
6037,2024-01-02,0.292838,0.000001,0.026806,0.216706,0.001245,0.000657,0.045246,0.220035,0.149653,0.046813
6058,2024-02-01,0.233578,0.000000,0.020040,0.168212,0.036581,0.023096,0.072430,0.279880,0.118559,0.047623
6079,2024-03-04,0.207786,0.000000,0.040451,0.150724,0.049835,0.000001,0.096350,0.292247,0.110997,0.051609
